### 112年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 887,650 |
| 客户关系 | $ 527,106 | $ 527,106 |
| 购售合约 | $ - | $ 217,530 |
| 其他无形资产 | $ - | $ 231,620 |
| 合计 | $ 1,665,053 | $ 671,078 |

### 111年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 其他无形资产 | $ 428,664 | $ 195,429 |
| 合计 | $ 1,618,093 | $ 1,297,739 |

### 112年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 购售合约 | $ - | $ 217,530 |
| 其他无形资产 | $ - | $ 231,620 |
| 合计 | $ 1,665,053 | $ 671,078 |

### 111年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 其他无形资产 | $ 428,664 | $ 195,429 |
| 合计 | $ 1,618,093 | $ 1,297,739 |

### 112年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 购售合约 | $ - | $ 217,530 |
| 其他无形资产 | $ - | $ 231,620 |
| 合计 | $ 1,665,053 | $ 671,078 |

### 111年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 其他无形资产 | $ 428,664 | $ 195,429 |
| 合计 | $ 1,618,093 | $ 1,297,739 |

### 112年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 购售合约 | $ - | $ 217,530 |
| 其他无形资产 | $ - | $ 231,620 |
| 合计 | $ 1,665,053 | $ 671,078 |

### 111年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 其他无形资产 | $ 428,664 | $ 195,429 |
| 合计 | $ 1,618,093 | $ 1,297,739 |

### 112年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 购售合约 | $ - | $ 217,530 |
| 其他无形资产 | $ - | $ 231,620 |
| 合计 | $ 1,665,053 | $ 671,078 |

### 111年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 其他无形资产 | $ 428,664 | $ 195,429 |
| 合计 | $ 1,618,093 | $ 1,297,739 |

### 112年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 购售合约 | $ - | $ 217,530 |
| 其他无形资产 | $ - | $ 231,620 |
| 合计 | $ 1,665,053 | $ 671,078 |

### 111年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 其他无形资产 | $ 428,664 | $ 195,429 |
| 合计 | $ 1,618,093 | $ 1,297,739 |

### 112年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 购售合约 | $ - | $ 217,530 |
| 其他无形资产 | $ - | $ 231,620 |
| 合计 | $ 1,665,053 | $ 671,078 |

### 111年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,323 |
| 客户关系 | $ 527,106 | $ 439,987 |
| 其他无形资产 | $ 428,664 | $ 195,429 |
| 合计 | $ 1,618,093 | $ 1,297,739 |

### 112年

| 项目 | 1月1日 | 9月30日 |
|------|--------|--------|
| 商誉 | $ 662,323 | $ 662,32
