### 联华电子股份有限公司及子公司
#### 合并资产负债表
民國一一二年三月三十一日、一一一年十二月三十一日及一一一年三月三十一日
（民國一一二年及一一一年三月三十一日僅經核閱，未依審計準則查核）
（金額均以新台幣千元為單位）

| 代碼 | 資產 | 附 註 | 金額 | % | 金額 | % | 金額 | % |
|------|------|------|------|---|------|---|------|---|
| 1100 | 現金及約當現金 | 四及六.1 | $ 171,834,458 | 31.26 | $ 173,818,777 | 32.61 | $ 172,170,231 | 35.66 |
| 1110 | 透過損益按公允價值衡量之金融資產-流動 | 四、五及六.2 | 751,386 | 0.14 | 705,918 | 0.13 | 775,035 | 0.16 |
| 1120 | 透過其他綜合損益按公允價值衡量之金融資產-流動 | 四、五及六.3 | 4,394,403 | 0.80 | 3,213,057 | 0.60 | 6,082,662 | 1.26 |
| 1136 | 按攤銷後成本衡量之金融資產-流動 | 四及六.4 | 259,264 | 0.05 | 861,817 | 0.16 | 3,026,877 | 0.62 |
| 1140 | 合約資產-流動 | 四及六.21 | 335,456 | 0.06 | 373,318 | 0.07 | 338,593 | 0.07 |
| 1170 | 應收帳款淨額 | 四及六.5 | 26,674,425 | 4.85 | 36,444,510 | 6.84 | 37,079,955 | 7.68 |
| 1180 | 應收帳款-關係人淨額 | 四及七 | 390,603 | 0.07 | 530,577 | 0.10 | 967,590 | 0.20 |
| 1200 | 其他應收款 | 四 | 1,838,971 | 0.33 | 1,807,999 | 0.34 | 775,428 | 0.16 |
| 1220 | 本期所得稅資產 | 四 | 65,094 | 0.01 | 40,256 | 0.01 | 12,137 | 0.00 |
| 130X | 存貨淨額 | 四、五及六.6 | 32,678,867 | 5.95 | 31,069,960 | 5.83 | 25,400,701 | 5.26 |
| 1410 | 預付款項 | 四 | 1,982,304 | 0.36 | 2,783,945 | 0.52 | 2,378,980 | 0.49 |
| 1470 | 其他流動資產 | 六.21 | 761,984 | 0.14 | 720,904 | 0.13 | 674,980 | 0.14 |
| 11XX | 流動資產合計 | | 241,967,215 | 44.02 | 252,371,038 | 47.34 | 249,683,169 | 51.70 |
| 1510 | 透過損益按公允價值衡量之金融資產-非流動 | 四、五及六.2 | 18,056,411 | 3.29 | 17,784,651 | 3.34 | 21,557,371 | 4.46 |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產-非流動 | 四、五及六.3 | 13,869,030 | 2.52 | 11,976,543 | 2.25 | 12,086,558 | 2.50 |
| 1535 | 按攤銷後成本衡量之金融資產-非流動 | 四及六.4 | 7,491 | 0.00 | 7,491 | 0.00 | 8,786 | 0.00 |
| 1550 | 採用權益法之投資 | 四、六.7及七 | 40,153,924 | 7.31 | 35,086,289 | 6.58 | 38,747,795 | 8.02 |
| 1600 | 不動產、廠房及設備 | 四、六.8及八 | 192,184,500 | 34.97 | 170,982,066 | 32.08 | 130,956,078 | 27.12 |
| 1755 | 使用權資產 | 四、六.9及八 | 7,540,463 | 1.37 | 7,611,991 | 1.43 | 7,156,909 | 1.48 |
| 1780 | 無形資產 | 四、六.10及七 | 3,970,977 | 0.72 | 4,275,200 | 0.80 | 3,602,842 | 0.75 |
| 1840 | 遞延所得稅資產 | 四 | 5,070,034 | 0.92 | 5,051,369 | 0.95 | 5,093,475 | 1.06 |
| 1915 | 預付設備款 | 四 | 18,502,796 | 3.37 | 19,439,559 | 3.65 | 9,123,328 | 1.89 |
| 1920 | 存出保證金 | 八 | 2,749,664 | 0.50 | 2,749,691 | 0.51 | 2,390,529 | 0.50 |
| 1990 | 其他非流動資產-其他 | 四 | 5,558,609 | 1.01 | 5,716,204 | 1.07 | 2,501,676 | 0.52 |
| 15XX | 非流動資產合計 | | 307,663,899 | 55.98 | 280,681,054 | 52.66 | 233,225,347 | 48.30 |
| 1XXX | 資產總計 | | $ 549,631,114 | 100.00 | $ 533,05
