### 财务报告分析

#### 部门收入与营运结果

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 个人家庭 | | |
| 来自外部客户收入 | $34,054,760 | $32,715,489 |
| 部门间收入 | 646,099 | 408,344 |
| 部门收入 | $34,700,859 | $33,123,833 |
| 内部冲销 | (1,141,195) | (933,320) |
| 合并收入 | $54,210,905 | $51,294,739 |
| 部门税前净利 | $7,470,862 | $7,236,214 |
| | | |
| 企业客户 | | |
| 来自外部客户收入 | $17,104,731 | $15,811,959 |
| 部门间收入 | 207,185 | 263,608 |
| 部门收入 | $17,311,916 | $16,075,567 |
| 内部冲销 | (1,141,195) | (933,320) |
| 合并收入 | $55,352,100 | $52,228,059 |
| 部门税前净利 | $3,954,358 | $3,805,907 |
| | | |
| 国际电信 | | |
| 来自外部客户收入 | $2,129,931 | $1,714,226 |
| 部门间收入 | 221,559 | 179,244 |
| 部门收入 | $2,351,490 | $1,893,470 |
| 内部冲销 | (1,135,189) | (1,135,189) |
| 合并收入 | $987,835 | $1,135,189 |
| 部门税前净利 | $921,483 | $449,464 |
| | | |
| 其他 | | |
| 销售收入 | $66,352 | $82,124 |
| 部门收入 | $1,141,195 | $1,135,189 |
| 内部冲销 | (1,141,195) | (1,135,189) |
| 合并收入 | $66,352 | $82,124 |
| 部门税前净利 | $322,000 | $182,808 |
| | | |
| 总计 | | |
| 部门收入 | $54,210,905 | $51,294,739 |
| 部门税前净利 | $12,259,993 | $11,674,393 |

#### 主要产品及劳务之收入

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 个人家庭 | | |
| 行动服务 | $13,522,073 | $12,618,195 |
| 固网服务 | 10,597,721 | 10,618,374 |
| 销售收入 | 9,381,786 | 8,988,287 |
| 其他 | 553,180 | 490,633 |
| 总计 | $34,054,760 | $32,715,489 |
| 企业客户 | | |
| 固网服务 | 8,389,231 | 8,524,458 |
| 资讯服务 | 5,139,486 | 4,059,205 |
| 行动服务 | 2,172,944 | 2,170,008 |
| 其他 | 1,403,070 | 1,058,288 |
| 总计 | $17,104,731 | $15,811,959 |
| 国际电信 | | |
| 固网服务 | 1,338,888 | 1,226,438 |
| 资讯服务 | 545,499 | 368,328 |
| 其他 | 245,544 | 119,460 |
| 总计 | $2,129,931 | $1,714,226 |
| 其他 | | |
| 销售收入 | 705,410 | 863,190 |
| 其他 | 216,073 | 189,875 |
| 总计 | $921,483 | $1,053,065 |
| 总计 | $54,210,905 | $51,294,739 |
