### 112年

| 项目 | 未实现 | 避险准备 | 外币换算 | 总计 |
|------|--------|----------|----------|------|
| 1月1日 | $2,478,263 | $386,203 | $13,490,378 | $16,354,844 |
| 调整 | 378,034 | - | - | 378,034 |
| 调整之税额 | - | - | - | - |
| 调整-关联企业 | 134,023 | - | - | 134,023 |
| 调整转出至保留 | - | - | - | - |
| 盈余-关联企业 | - | - | - | - |
| 现金流量避险： | - | - | - | - |
| - 公允价值损失 | - | - | - | - |
| - 合并公司 | - | - | - | - |
| - 合并公司之税额 | - | - | - | - |
| - 关联企业 | - | - | - | - |
| 外币换算差额： | - | - | - | - |
| - 合并公司 | - | - | - | - |
| - 合并公司之税额 | - | - | - | - |
| - 关联企业 | - | - | - | - |
| 9月30日 | $2,864,527 | ($499,111) | $29,876,357 | $32,241,773 |

### 111年

| 项目 | 未实现 | 避险准备 | 外币换算 | 总计 |
|------|--------|----------|----------|------|
| 1月1日 | $3,986,029 | $1,601,207 | ($6,733,006) | ($1,145,770) |
| 调整 | -430,919 | - | - | -430,919 |
| 调整之税额 | 16,588 | - | - | 16,588 |
| 调整-关联企业 | -1,049,529 | - | - | -1,049,529 |
| 调整转出至保留 | - | - | - | - |
| 盈余-关联企业 | 218 | - | - | 218 |
| 现金流量避险： | - | - | - | - |
| - 公允价值损失 | - | - | - | - |
| - 合并公司 | - | - | - | - |
| - 合并公司之税额 | - | - | - | - |
| - 关联企业 | - | - | - | - |
| 外币换算差额： | - | - | - | - |
| - 合并公司 | - | - | - | - |
| - 合并公司之税额 | - | - | - | - |
| - 关联企业 | - | - | - | - |
| 9月30日 | $2,522,387 | $3,158 | $31,383,980 | $33,909,525 |
