```markdown
| 代 碼 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|-------|------------------|------------------|------------------|------------------|
| 4110  | 銷貨收入         | $ 40,984,157     | $ 47,127,280      | $ 113,498,349     | $ 133,162,997     |
| 4190  | 減：銷貨折讓     | 923,375          | 885,748           | 1,770,111         | 2,551,497         |
| 4170  | 銷貨退回         | 103,558          | -                | 303,814           | -                |
| 4000  | 營業收入合計     | 39,957,224       | 46,174,319        | 111,424,424       | 130,361,572      |
| 5110  | 營業成本         | -                | -                | -                | -                |
| 5900  | 營業毛利         | 9,431,527        | 9,002,668         | 24,531,557        | 24,846,736       |
| 6100  | 營業費用（附註二六及三二） | -                | -                | -                | -                |
| 6200  | 推銷費用         | 1,493,734        | 1,489,533         | 4,282,222        | 4,463,865        |
| 6200  | 管理費用         | 1,278,359        | 1,194,848         | 3,324,316        | 3,341,126        |
| 6300  | 研究發展費用     | 2,036,612        | 1,898,963         | 5,847,638        | 5,268,752        |
| 6450  | 預期信用減損迴轉利益（損失）（附註十一及二五） | -                | -                | -                | -                |
| 6000  | 營業費用合計     | 4,811,521        | 4,608,476         | 13,432,968        | 13,101,261       |
| 6900  | 營業利益         | 4,620,006        | 4,394,192         | 11,098,589        | 11,745,475       |
| 7010  | 營業外收入及支出 | -                | -                | -                | -                |
| 7020  | 其他收入（附註二六及三二） | 168,934          | -                | 664,841          | 487,068          |
| 7020  | 其他利益及損失（附註十六及二六） | -                | 178,001          | -                | 429,675          |
| 7050  | 財務成本（附註二六） | 402,257          | -                | 1,115,166        | 410,425          |
| 7100  | 利息收入         | 715,955          | 350,669          | 2,026,719        | 735,282          |
| 7060  | 採用權益法認列之關聯企業利益份額（附註十五） | -                | -                | -                | -                |
| 7000  | 營業外收入及支出合計 | 1,124,240        | 3                | 953,986          | 1                |
| 7900  | 稅前淨利         | 5,744,246        | 14               | 5,348,178        | 12               |
| 7950  | 所得稅費用（附註二七） | -                | -                | -                | -                |
| 8200  | 淨利            | 4,566,676        | 11               | 4,251,801        | 9                |
| 8310  | 其他綜合（損）益（附註二四及二七） | -                | -                | -                | -                |
| 8316  | 不重分類至損益之項目 | -                | -                | -                | -                |
| 8320  | 採用權益法認列之關聯企業及合資之其他綜合損失之份額 | -                | -                | -                | -                |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|       |                 |                 |                 |                 |                 |
|      
