### 财务报告分析

#### 1. 客户合约收入之细分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客户合约之收入 | $ 82,538,075 | $ 72,485,283 |

#### 2. 客户合约收入之细分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客户合约之收入 | $ 82,538,075 | $ 72,485,283 |

#### 3. 客户合约收入之细分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客户合约之收入 | $ 82,538,075 | $ 72,485,283 |

#### 4. 本公司於民國111年2月24日經董事會提議民國110年度盈餘指撥分派案及民國110年7月19日經股東會決議通過民國109年度盈餘指撥分派案如下：

| 项目 | 110年度 | 109年度 |
|------|--------|--------|
| 提列法定盈餘公積 | $ 2,688,553 | $ 2,355,218 |
| 提列特別盈餘公積 | 3,623,514 | 4,921,174 |
| 分配股東現金股利 | $ 14,286,488 | $ 14,286,488 |

#### 5. 本公司民國110年度盈餘分派議案截至民國111年4月28日止，尚未經股東會通過，故本財務報告業尚未反映此應付股利。有關股東會決議盈餘分派情形，可至公開資訊觀測站查詢。

#### 6. (二十)營業收入

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 7. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 8. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 9. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 10. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 11. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 12. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 13. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 14. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 15. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 16. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 17. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 18. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 19. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 20. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 21. 客戶合約收入之細分

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|---------------------|---------------------|
| 客戶合約之收入 | $ 82,538,075 | $ 72,485,283 |

#### 22. 客戶合約收入之細分

| 项目 | 111年1
