以下是根据提供的PDF财务报告图像提取的文本和表格信息：

### 文本内容
台达电子工业股份有限公司及子公司
合併綜合損益表
民國112年及111年1月1日至9月30日
單位：新台幣仟元
（除每股盈餘為新台幣元外）

### 表格数据
| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 4000 營業收入 | $ 107,795,435 | $ 106,248,153 | $ 301,206,071 | $ 278,783,021 |
| 5000 營業成本 | (75,925,708) | (74,070,823) | (214,397,903) | (197,622,962) |
| 5950 營業毛利淨額 | 31,869,727 | 32,177,330 | 86,808,168 | 81,160,059 |
| 6100 推銷費用 | (6,009,701) | (6) | (17,823,077) | (6) |
| 6200 管理費用 | (4,378,926) | (4) | (12,198,916) | (4) |
| 6300 研究發展費用 | (9,619,854) | (9) | (26,122,470) | (9) |
| 6450 預期信用減損利益(損失) | 35,834 | - | (77,421) | - |
| 6000 營業費用合計 | (19,972,647) | (19) | (56,221,884) | (19) |
| 6900 營業利益 | 11,897,080 | 11 | 13,537,681 | 13 |
| 7100 利息收入 | 543,116 | - | 1,357,531 | - |
| 7010 其他收入 | 1,118,921 | 1 | 3,009,366 | 1 |
| 7020 其他利益及損失 | 548,622 | 1 | 1,550,673 | 1 |
| 7050 財務成本 | (337,223) | - | (828,811) | - |
| 7060 採用權益法認列之關聯企業及合資損益之份額 | 414 | - | 3,262 | - |
| 7000 營業外收入及支出合計 | 1,873,850 | 2 | 5,092,021 | 2 |
| 7900 稅前淨利 | 13,770,930 | 13 | 15,171,339 | 15 |
| 7950 所得稅費用 | (2,741,182) | (3) | (2,949,569) | (3) |
| 8200 本期淨利 | $ 11,029,748 | 10 | $ 12,221,770 | 12 |

### Markdown表格格式
```markdown
| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 4000 營業收入 | $ 107,795,435 | $ 106,248,153 | $ 301,206,071 | $ 278,783,021 |
| 5000 營業成本 | (75,925,708) | (74,070,823) | (214,397,903) | (197,622,962) |
| 5950 營業毛利淨額 | 31,869,727 | 32,177,330 | 86,808,168 | 81,160,059 |
| 6100 推銷費用 | (6,009,701) | (6) | (17,823,077) | (6) |
| 6200 管理費用 | (4,378,926) | (4) | (12,198,916) | (4) |
| 6300 研究發展費用 | (9,619,854) | (9) | (26,122,470) | (9) |
| 6450 預期信用減損利益(損失) | 35,834 | - | (77,421) | - |
| 6000 營業費用合計 | (19,972,647) | (19) | (56,221,884) | (19) |
| 6900 營業利益 | 11,897,080 | 11 | 13,537,681 | 13 |
| 7100 利息收入 | 543,116 | - | 1,357,531 | - |
| 7010 其他收入 | 1,118,921 | 1 | 3,009,366 | 1 |
| 7020 其他利益及損失 | 548,622 | 1 | 1,550,673 | 1 |
| 7050 財務成本 | (337,223) | - | (828,811) | - |
| 7060 採用權益法認列之關聯企業及合資損益之份額 | 414 | - | 3,262 | - |
| 7000 營業外收入及支出合計 | 1,873,850 | 2 | 5,092,021 | 2 |
| 7900 稅前淨利 | 13,770,930 | 13 | 15,171,339 | 15 |
| 7950 所得稅費用 | (2,741,182) | (3) | (2,949,569) | (3) |
| 8200 本期淨利 | $ 11,029,748 | 10 | $ 12,221,770 | 12 |
```

请注意，上述表格数据已根据提供的PDF财务报告图像进行提取和整理。表格中的数据已按照时间顺序排列，并且已将特殊字符和下划线处理为相应的财务数据。
