### 财务报告

#### 1. 营业活动现金流量表

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| A31240 其他流动资产 | 1,076,445 | (1,371,382) |
| A32120 避险之金融负债 | (13,341) | 45,764 |
| A32125 合约负债 | 489,801 | 1,032,900 |
| A32130 应付票据 | (65,107) | 18,393 |
| A32150 应付账款 | 2,743,554 | 2,970,495 |
| A32160 应付账款－关系人 | (11,458) | 207,815 |
| A32180 其他应付款 | (5,116,602) | (5,503,921) |
| A32200 负债准备 | (13,719) | (7,598) |
| A32230 其他流动负债 | (209,993) | 307,274 |
| A32240 损益确定福利负债 | (217,420) | (542,232) |
| A32990 退款负债 | (595,341) | 148,070 |
| A33000 营运产生之现金 | 7,511,064 | 12,506,474 |
| A33500 支付之所得税 | (247,263) | (116,387) |
| AAAA 营业活动之净现金流入 | 7,263,801 | 12,390,087 |

#### 2. 投资活动现金流量表

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| B00010 取得透过其他综合损益按公允价值衡量之金融资产 | (1,300,835) | (885,667) |
| B00020 处分透过其他综合损益按公允价值衡量之金融资产 | 1,232,774 | 1,441,187 |
| B00100 取得透过损益按公允价值衡量之金融资产 | (1,582,382) | (1,623,328) |
| B00200 处分透过损益按公允价值衡量之金融资产 | 1,530,167 | 841,340 |
| B01900 处分采用权益法之投资 | - | 2,534 |
| B02400 采用权益法之被投资公司减资 | 105,000 | - |
| B02700 购置不动产、厂房及设备 | (8,475,436) | (9,705,387) |
| B02800 处分不动产、厂房及设备 | 1,060,803 | 613,614 |
| B03800 存出保证金减少(增加) | 234,057 | (101,696) |
| B04500 取得无形资产 | (7,254) | (15,468) |
| B05350 取得使用权资产 | (120) | - |
| B06600 其他金融资产减少(增加) | (3,506,715) | 387,055 |
| B06700 其他非流动资产增加 | (376,812) | (136,538) |
| B07500 收取之利息 | 163,141 | 52,170 |
| B07600 收取关联企业股利 | 377,704 | - |
| B07600 收取其他股利 | 146,880 | 215,328 |

### 总计
| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| AAAA 营业活动之净现金流入 | 7,263,801 | 12,390,087 |
