### 财务报告

#### 112年9月30日
| 项目 | 金额 | % | 金额 | % | 金额 | % |
|------|------|---|------|---|------|---|
| 流动资产 | | | | | | |
| 1100 | 现金及预付款 | 65,338,131 | 21 | 39,420,666 | 14 | 35,066,515 | 13 |
| 1110 | 透支按公允价值计量的金融资产 - 流动 | 2,115,306 | - | 4,545,168 | 1 | 6,250,701 | 2 |
| 1136 | 按摊销后成本计量的金融资产 - 流动 | 15,370,499 | 5 | 13,157,089 | 5 | 13,749,710 | 5 |
| 1139 | 逾期的金融资产 - 流动 | 264,223 | - | 161,905 | - | 96,704 | - |
| 1150 | 应收票据净额 | 219,129 | - | 116,684 | - | 107,948 | - |
| 1170 | 应收账款净额 | 21,000,345 | 7 | 22,146,434 | 8 | 24,104,955 | 9 |
| 1200 | 其他应收款 | 2,167,221 | 1 | 2,252,805 | 1 | 1,344,507 | 1 |
| 130X | 存货 | 25,016,739 | 8 | 26,944,816 | 10 | 25,774,410 | 10 |
| 1410 | 预付款项 | 2,720,273 | 1 | 1,953,980 | 1 | 2,093,046 | 1 |
| 1470 | 其他流动资产 | 880,673 | - | 1,007,044 | - | 549,249 | - |
| 11XX | 流动资产总计 | 134,892,539 | 43 | 111,704,291 | 40 | 114,137,245 | 41 |
| 非流动资产 | | | | | | | |
| 1510 | 透支按公允价值计量的金融资产 - 非流动 | 13,022,082 | - | 1,331,226 | 1 | 1,397,984 | 1 |
| 1517 | 透支按公允价值计量的金融资产 - 非流动 | 1,545,144 | 1 | 812,139 | - | 833,714 | - |
| 1535 | 按摊销后成本计量的金融资产 - 非流动 | 21,623,339 | 7 | 20,400,172 | 7 | 19,179,749 | 7 |
| 1538 | 逾期的金融资产 - 非流动 | 1,235,908 | - | 831,882 | - | 1,283,234 | 1 |
| 1550 | 应收票据净额 | 5,396,065 | 2 | 3,395,606 | 1 | 3,312,555 | 1 |
| 1600 | 不动产、厂房及设备 | 66,570,664 | 21 | 59,871,278 | 22 | 36,805,933 | 20 |
| 1755 | 使用权资产 | 1,425,233 | 1 | 1,263,123 | 1 | 1,190,164 | - |
| 1760 | 投资性不流动资产 | 36,253 | - | 36,936 | - | 38,615 | - |
| 1805 | 商誉 | 51,036,246 | 16 | 47,848,779 | 17 | 49,013,971 | 18 |
| 1821 | 其他无形资产净额 | 25,127,203 | 8 | 24,331,270 | 9 | 25,016,503 | 9 |
| 1840 | 预付租金 | 3,151,679 | 1 | 3,567,488 | 1 | 3,822,728 | 1 |
| 1920 | 存出保证金 | 217,063 | - | 221,940 | - | 225,212 | - |
| 1990 | 其他非流动资产 | 796,407 | - | 1,569,119 | 1 | 1,479,594 | 1 |
| 15XX | 非流动资产总计 | 179,489,226 | 57 | 165,480,958 | 60 | 163,399,956 | 59 |
| 总计 | | | | | | | |
| 1XXX | 资产总计 | 314,381,765 | 100 | 277,185,549 | 100 | 277,737,701 | 100 |
| 负债及所有者权益 | | | | | | | |
| 2100 | 短期借款 | 18,072,309 | 6 | 12,492,638 | 5 | 22,797,140 | 8 |
| 2110 | 应付短期借款 | 37,948,934 | 12 | 28,075,967 | 10 | 20,073,687 | 7 |
| 2120 | 透支按公允价值计量的金融负债 - 流动 | 49,074 | - | 210,354 | - | 554,507 | - |
| 2150 | 应付票据 | 1,171 | - | 852 | - | 1,171 | - |
| 2170 | 透支按公允价值计量的金融负债 - 流动 | 14,854,499 | 5 | 14,533,411 | 5 | 17,919,307 | 7 |
| 2200 | 其他应付款 | 20,315,573 | 6 | 23,136,523 | 8 | 18,836,605 | 7 |
| 2230 | 一年内到期的长期借款及应付公司债券 | 5,601,781 | 2 | 5,930,871 | 2 | 5,464,369 | 2 |
| 2280 | 其他非流动负债 | 300,033 | - | 321,627 | - | 337,356 | -
