### 财务报告

#### 110年9月30日

| 项目 | 金额（单位：元） | 金额（单位：元） | 金额（单位：元） |
|------|------------------|------------------|------------------|
| 现金流量避险 | 预期设备采购 | $ 11,082 | ($ 9,330) |
| 现金流量避险 | 预期设备采购 | $ 21,038 | $ - |
| 现金流量避险 | 预期设备采购 | ($ 11,082) | $ - |

#### 111年1月1日至9月30日

| 项目 | 金额（单位：元） | 金额（单位：元） | 金额（单位：元） |
|------|------------------|------------------|------------------|
| 现金流量避险 | 预期设备采购 | $ 22,100 | $ - |
| 现金流量避险 | 预期设备采购 | ($ 22,100) | $ - |

#### 二一、短期借款

| 项目 | 金额（单位：元） | 金额（单位：元） | 金额（单位：元） |
|------|------------------|------------------|------------------|
| 111年9月30日 | $ 592,000 | $ 65,000 | $ 66,000 |

#### 本集团之银行借款利率如下：

| 项目 | 金额（单位：元） | 金额（单位：元） | 金额（单位：元） |
|------|------------------|------------------|------------------|
| 111年9月30日 | 1.30%~3.06% | 1.97%~2.43% | 1.10%~2.43% |
