### (二) 資本公積

#### 111年及110年1月1日至9月30日各類資本公積餘額之調節如下：

| 项目 | 110年1月1日餘額 | 110年9月30日餘額 | 111年1月1日餘額 | 111年9月30日餘額 |
|------|----------------|----------------|----------------|----------------|
| 股票發行溢價 | $147,329,386 | $147,329,386 | $147,329,386 | $147,329,386 |
| 採用權益法認列關聯企業及合資之資本公積變動數 | $186,828 | $187,028 | $186,391 | $185,232 |
| 認列對子公司所有權權益變動數 | $2,087,957 | $2,103,525 | $2,104,672 | $2,120,377 |
| 實際取得或處分子公司股權價格與帳面價值差額 | $987,611 | $987,611 | $987,611 | $987,611 |
| 受贈資產 | $21,519 | $23,488 | $23,487 | $25,119 |
| 而產生合計 | $20,648,078 | $20,648,078 | $20,648,078 | $20,648,078 |
| 計 | $171,261,379 | $171,279,116 | $171,279,625 | $171,295,803 |

#### 資本公積中屬股票發行溢價、受贈資產及實際取得或處分子公司股權價格與帳面價值差額，除來自逾期未領股利之資本公積，僅得用以彌補虧損外，其餘亦得於公司無虧損時，用以發放現金或撥充股本，惟撥充股本時每年以實收股本之一定比率為限。

#### 認列對子公司所有權權益變動數，此類資本公積僅得用以彌補虧損。

#### 採用權益法認列關聯企業及合資之資本公積變動數中，屬關聯企業及合資實際取得或處分其子公司股權所產生者，得用以彌補虧損，亦得於公司無虧損時，用以發放現金或撥充股本；其餘依持股比例認列之資本公積，僅得用以彌補虧損。

### (三) 保留盈餘及股利政策

中華電信公司章程規定，每一會計年度完納一切稅捐後，分派盈餘時，應先彌補以往年度虧損以及提撥百分之十為法定盈餘公積。但法定盈餘公積累積已達資本總額時，不在此限；並得依業務需要或規定提列或迴轉特別盈餘公積；所餘款項於加計累積未分配盈餘後，至
