### 财务报告表格数据输出

#### Markdown表格格式

| 投资公司名稱 | 子公司名稱 | 業務性質 | 112年9月30日 | 111年12月31日 | 111年9月30日 | 說明 |
|--------------|------------|----------|--------------|---------------|--------------|------|
| Amerlux      | Amerlux Lighting Asia, LLC | 投資事業 | 100.00       | 100.00        | 100.00       | 註1  |
| Amerlux      | Amerlux Lighting Hong Kong Limited | " | 100.00       | 100.00        | 100.00       | 註1  |
| Amerlux      | 廣州埃墨勒施照明器具有限公司 | 燈具、裝飾物品之批發 | 100.00       | 100.00        | 100.00       | 註1  |
| DIH          | Digital Projection International Limited (DPI) | 投資事業 | 100.00       | 100.00        | 100.00       | 註1  |
| DPI          | Digital Projection Holdings Limited | " | 100.00       | 100.00        | 100.00       | 註1  |
| Digital Projection Holdings Limited | Digital Projection Limited | 經營投影機產品之研發及買賣 | 100.00       | 100.00        | 100.00       | 註1  |
| Digital Projection Limited | Digital Projection Inc. | 經營投影機產品之買賣 | 100.00       | 100.00        | 100.00       | 註1  |
| DIH/DEN      | Trihedral Engineering Limited (Trihedral) | 圖控軟體和相關工程服務 | 100.00       | 100.00        | 100.00       | 註1  |
| Trihedral    | Trihedral Inc. | " | 100.00       | 100.00        | 100.00       | 註1  |
| Trihedral    | Trihedral UK Limited | " | 100.00       | 100.00        | 100.00       | 註1  |
| DIH          | March Networks Holdings Ltd. | 投資事業 | 100.00       | 100.00        | 100.00       | 註1  |
| March Networks Holdings Ltd. | March Networks Corporation | 安全監控軟硬體和相關工程服務 | 100.00       | 100.00        | 100.00       | 註1  |
| March Networks Corporation | March Networks, Inc. | " | 100.00       | 100.00        | 100.00       | 註1  |
| "           | March Networks de Mexico, S.A.de C.V. | " | 100.00       | 100.00        | 100.00       | 註1  |
| "           | March Networks (Australia) Pty Limited | " | 100.00       | 100.00        | 100.00       | 註1  |
| "           | March Networks Limited | " | 100.00       | 100.00        | 100.00       | 註1  |

#### 文本输出

以下是财务报告表格数据的文本输出：

| 投资公司名稱 | 子公司名稱 | 業務性質 | 112年9月30日 | 111年12月31日 | 111年9月30日 | 說明 |
|--------------|------------|----------|--------------|---------------|--------------|------|
| Amerlux      | Amerlux Lighting Asia, LLC | 投資事業 | 100.00       | 100.00        | 100.00       | 註1  |
| Amerlux      | Amerlux Lighting Hong Kong Limited | " | 100.00       | 100.00        | 100.00       | 註1  |
| Amerlux      | 廣州埃墨勒施照明器具有限公司 | 燈具、裝飾物品之批發 | 100.00       | 100.00        | 100.00       | 註1  |
| DIH          | Digital Projection International Limited (DPI) | 投資事業 | 100.00       | 100.00        | 100.00       | 註1  |
| DPI          | Digital Projection Holdings Limited | " | 100.00       | 100.00        | 100.00       | 註1  |
| Digital Projection Holdings Limited | Digital Projection Limited | 經營投影機產品之研發及買賣 | 100.00       | 100.00        | 100.00       | 註1  |
| Digital Projection Limited | Digital Projection Inc. | 經營投影機產品之買賣 | 100.00       | 100.00        | 100.00       | 註1  |
| DIH/DEN      | Trihedral Engineering Limited (Trihedral) | 圖控軟體和相關工程服務 | 100.00       | 100.00        | 100.00       | 註1  |
| Trihedral    | Trihedral Inc. | " | 100.00       | 100.00        | 100.00       | 註1  |
| Trihedral    | Trihedral UK Limited | " | 100.00       | 100.00        | 100.00       | 註1  |
| DIH          | March Networks Holdings Ltd. | 投資事業 | 100.00       | 100.00        | 100.00       | 註1  |
| March Networks Holdings Ltd. | March Networks Corporation | 安全監控軟硬體和相關工程服務 | 100.00       | 100.00        | 100.00       | 註1  |
| March Networks Corporation | March Networks, Inc. | " | 100.00       | 100.00        | 100.00       | 註1  |
| "           | March Networks de Mexico, S.A.de C.V. | " | 100.00       | 100.00        | 100.00       | 註1  |
| "           | March Networks (Australia) Pty Limited | " | 100.00       | 100.00        | 100.00       | 註1  |
| "           | March Networks Limited | " | 100.00       | 100.00        | 100.00       | 註1  |
