### 财务报告表格数据输出

#### Markdown表格格式

| 投资公司 | 子公司 | 業務性質 | 112年 | 111年 | 111年 |
|----------|--------|----------|-------|-------|-------|
| 62.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | DELTA ELECTRONICS (PERU) INC. S.R.L. | 經營電源供應器等之銷售業務 | 100.00 | 100.00 | 100.00 |
| 63.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| DELTA ELECTRONICS (USA) INC. | DELTA ELECTRONICS (COLOMBIA) S.A.S. | " | 100.00 | 100.00 | 100.00 |
| 64.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | Eltekenergy Services, S.A. de C.V. | " | 100.00 | 100.00 | 100.00 |
| 65.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| DHK、DIH | Eltekenergy International de Mexico, S. de R.L. de C.V. | " | - | - | 100.00 |
| 66.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| DAL | Delta Electronics (Americas) Ltd. | 經營電子零組件之銷售業務 | 100.00 | 100.00 | 100.00 |
| 67.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| 台達電子工業股份有限公司、乾坤/乾坤 | 力林科技股份有限公司（力林） | 電源管理IC設計 | 87.04 | 99.74 | 100.00 |
| 68.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| 台達企管、中達電通 | 上海浦環中達能源科技有限公司 | 太陽能熱發電產品銷售、太陽能熱發電裝備銷售、光伏設備及元器件銷售、機械電器設備銷售、電力電子元器件銷售、半導體器件專用設備銷售、光伏發電設備租賃、工程和技術研究和試驗發展、節能管理服務、太陽能發電技術服務 | 100.00 | 100.00 | 100.00 |

#### 文本输出

| 投资公司 | 子公司 | 業務性質 | 112年 | 111年 | 111年 |
|----------|--------|----------|-------|-------|-------|
| 62.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | DELTA ELECTRONICS (PERU) INC. S.R.L. | 經營電源供應器等之銷售業務 | 100.00 | 100.00 | 100.00 |
| 63.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| DELTA ELECTRONICS (USA) INC. | DELTA ELECTRONICS (COLOMBIA) S.A.S. | " | 100.00 | 100.00 | 100.00 |
| 64.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | Eltekenergy Services, S.A. de C.V. | " | 100.00 | 100.00 | 100.00 |
| 65.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| DHK、DIH | Eltekenergy International de Mexico, S. de R.L. de C.V. | " | - | - | 100.00 |
| 66.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| DAL | Delta Electronics (Americas) Ltd. | 經營電子零組件之銷售業務 | 100.00 | 100.00 | 100.00 |
| 67.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| 台達電子工業股份有限公司、乾坤/乾坤 | 力林科技股份有限公司（力林） | 電源管理IC設計 | 87.04 | 99.74 | 100.00 |
| 68.      |        |          | 9月30日 | 12月31日 | 9月30日 |
| 台達企管、中達電通 | 上海浦環中達能源科技有限公司 | 太陽能熱發電產品銷售、太陽能熱發電裝備銷售、光伏設備及元器件銷售、機械電器設備銷售、電力電子元器件銷售、半導體器件專用設備銷售、光伏發電設備租賃、工程和技術研究和試驗發展、節能管理服務、太陽能發電技術服務 | 100.00 | 100.00 | 100.00 |
