### 财务报告

#### (二) 营业交易

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 销 货 | | |
| 管理阶层间具实质关系者 | $ 119,634 | $ 130,094 |
| 关联企业 | 120,695 | 120,694 |
| 合并公司为其主要管理阶层 | 111,972 | 99,991 |
| 主要管理阶层相同 | 45,092 | 74,774 |
| 实质关系人 | 17,594 | 71,592 |
| 合并公司为其母公司之主要管理阶层 | 12,553 | 23 |
| 总计 | $ 427,540 | $ 497,168 |

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 进 货 | | |
| 合并公司为其主要管理阶层 | $ 227,151 | $ 192,732 |
| 管理阶层间具实质关系者 | 10,083 | 9,139 |
| 关联企业 | 6,028 | 10,728 |
| 实质关系人 | - | 404 |
| 主要管理阶层相同 | 106 | 104 |
| 合并公司为其母公司之主要管理阶层 | 81 | - |
| 总计 | $ 243,449 | $ 213,107 |

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 营业费用 | | |
| 合并公司为其主要管理阶层 | $ 15,707 | $ 15,707 |
| 管理阶层间具实质关系者 | 6,541 | 3,644 |
| 关联企业 | 309 | 109 |
| 实质关系人 | 580 | - |
| 主要管理阶层相同 | 19 | - |
| 总计 | $ 23,156 | $ 19,460 |

### 总计
| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|----------------------|----------------------|
| 总计 | $ 690,145 | $ 759,745 |
