```markdown
# 中國鋼鐵股份有限公司及子公司
## 合併現金流量表
### 民國 112 及 111 年 1 月 1 日至 3 月 31 日
#### （僅經核閱，未依審計準則查核）

| 代 碼 | 112 年 1 月 1 日至 3 月 31 日 | 111 年 1 月 1 日至 3 月 31 日 |
|-------|-----------------------------|-----------------------------|
| A10000 | 本期稅前淨利(損) | $ (74,972) | $ 14,502,132 |
| A20010 | 收益費損項目 | | |
| A20100 | 折舊費用 | 8,303,418 | 8,680,484 |
| A20200 | 損銷費用 | 59,580 | 66,366 |
| A20300 | 預期信用減損迴轉利益 | (3,539) | (242) |
| A20400 | 透過損益按公允價值衡量 | | |
| A20900 | 金融資產及負債之淨損失(利益) | (65,124) | 12,458 |
| A21200 | 財務成本 | 902,404 | 417,383 |
| A21300 | 利息收入 | (178,642) | (53,597) |
| A21300 | 股利收入 | (158,164) | (215,785) |
| A22300 | 採用權益法認列之關聯企業 | | |
| A22500 | 業及合資利益之份額 | (269,560) | (257,127) |
| A22500 | 處分及報廢不動產、廠房及設備利益 | (535,957) | (315,031) |
| A23100 | 處分投資利益 | (111) | (1,635) |
| A23700 | 存貨回升利益 | (5,064,663) | (1,603,676) |
| A29900 | 提列負債準備 | 1,868,328 | 787,299 |
| A29900 | 其他 | 2,074 | 19,942 |
| A30000 | 營業資產及負債之淨變動數 | | |
| A31115 | 強制透過損益按公允價值衡量之金融資產 | (522,143) | (57,982) |
| A31120 | 避險之金融資產 | (1,563,740) | (242,819) |
| A31125 | 合約資產 | 716,658 | (167,523) |
| A31130 | 應收票據 | (5,703) | (202,064) |
| A31140 | 應收票據－關係人 | 272 | 421 |
| A31150 | 應收帳款 | 450,430 | 1,223,035 |
| A31160 | 應收帳款－關係人 | (307,012) | 263,918 |
| A31180 | 其他應收款 | (1,868) | 1,911,251 |
| A31200 | 存貨 | 5,892,279 | (9,566,312) |

- 9 -
```
