```markdown
# 資產負債表

**公司名稱及子公司**

**民國 112 年 9 月 30 日及 12 月 31 日及 9 月 30 日**

**單位：新台幣仟元**

| 代碼 | 資 產 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|-------|--------------|--------------|--------------|
| 1100 | 現金及約當現金（附註六） | $65,338,331 | $39,420,666 | $35,066,515 |
| 1110 | 透過損益按公允價值衡量之金融資產－流動（附註七） | 2,115,306 | 4,545,168 | 6,250,701 |
| 1136 | 按攤銷後成本衡量之金融資產－流動（附註九） | 15,370,499 | 13,157,089 | 13,749,710 |
| 1139 | 避險之金融資產－流動（附註十） | 264,223 | 161,905 | 96,704 |
| 1150 | 應收帳款淨額（附註十一） | 219,129 | 116,684 | 107,948 |
| 1170 | 應收帳款淨額（附註十一、三四及三五） | 21,000,345 | 22,146,434 | 24,104,955 |
| 1200 | 其他應收款（附註三四） | 2,167,221 | 2,252,805 | 1,344,507 |
| 130X | 存貨（附註十二及三五） | 25,016,739 | 26,944,816 | 25,774,410 |
| 1410 | 預付款項 | 2,720,273 | 1,953,980 | 2,093,046 |
| 1470 | 其他流動資產 | 880,673 | 1,007,044 | 549,249 |
| 11XX | 流動資產總計 | 134,892,539 | 131,704,291 | 114,137,245 |

| 代碼 | 資 產 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|-------|--------------|--------------|--------------|
| 1510 | 透過損益按公允價值衡量之金融資產－非流動（附註七） | 1,328,022 | 1,331,226 | 1,397,984 |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產－非流動（附註八） | 1,545,144 | 812,139 | 833,714 |
| 1535 | 按攤銷後成本衡量之金融資產－非流動（附註九） | 21,623,339 | 20,400,172 | 19,179,749 |
| 1538 | 避險之金融資產－非流動（附註十） | 1,235,908 | 831,882 | 1,283,234 |
| 1550 | 採用權益法之投資（附註十四） | 5,396,065 | 3,395,606 | 3,312,555 |
| 1600 | 不動產、廠房及設備（附註十五及三五） | 66,570,664 | 59,871,278 | 36,805,933 |
| 1755 | 使用權資產 | 1,425,233 | 1,263,123 | 1,190,164 |
| 1760 | 投資性不動產（附註十六） | 36,253 | 36,936 | 38,615 |
| 1805 | 商譽（附註十七） | 51,036,246 | 47,848,779 | 49,013,971 |
| 1821 | 其他無形資產淨額（附註十八） | 25,127,203 | 24,331,270 | 25,016,503 |
| 1840 | 遞延所得稅資產（附註二五） | 3,151,679 | 3,567,488 | 3,822,728 |
| 1920 | 存出保證金 | 217,063 | 221,940 | 225,212 |
| 1990 | 其他非流動資產 | 796,407 | 1,569,119 | 1,479,594 |
| 15XX | 非流動資產總計 | 179,489,226 | 165,480,958 | 163,399,956 |

| 代碼 | 資 產 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|-------|--------------|--------------|--------------|
| 2100 | 短期借款（附註十九及三五） | $18,072,309 | $12,492,638 | $22,797,140 |
| 2110 | 應付短期票券（附註十九） | 37,948,934 | 28,075,967 | 20,073,687 |
| 2120 | 透過損益按公允價值衡量之金融負債－流動（附註七） | 49,074 | 210,354 | 554,507 |
| 2150 | 應付票據 | 1,171 | 852 | 1,171 |
| 2170 | 應付帳款（附註三四） | 14,854,499 | 14,533,411 | 17,919,307 |
| 2200 | 其他應付款（附註二一及三四） | 20,315,573 | 23,136,523 | 18,836,605 |
| 2230 | 本期所納稅負債（附註二五） | 5,601,781 | 5,930,871 | 5,464,369 |
| 2280 | 租賃負債－流動 | 300,033 | 321,627 | 337,356 |
| 2320 | 一年內到期之長期借款及應付公司債（附註十九及二十） | 11,911,759 | 9,172,781 | 8,652
