```markdown
|  | 自有土地 | 建築物 | 機器設備 | 辦公設備 | 其他設備 | 待驗設備 | 合計 |
|---|---|---|---|---|---|---|---|
| 112年1月1日 | $3,078,714 | $8,444,047 | $2,283,830 | $954,826 | $2,190,489 | $991,827 | $17,943,733 |
| 累計折舊及減損 | - | (3,153,349) | (1,445,966) | (769,670) | (1,535,353) | - | (6,904,338) |
| 合計 | $3,078,714 | $5,290,698 | $837,864 | $185,156 | $655,136 | $991,827 | $11,039,395 |
| 112年1月1日 | $3,078,714 | $5,290,698 | $837,864 | $185,156 | $655,136 | $991,827 | $11,039,395 |
| 增添 | - | 758 | 18,495 | 16,165 | 37,076 | 204,157 | 276,651 |
| 處分 | - | - | (220) | (745) | (171) | - | (1,136) |
| 折舊費用 | - | (53,940) | (36,536) | (19,464) | (50,990) | - | (160,930) |
| 重分類 | - | - | 10,596 | 440 | 12,920 | (1,594) | 22,362 |
| 外幣兌換差額 | (5,658) | 589 | 2,693 | 87 | (1,175) | 34 | (3,430) |
| 112年3月31日 | $3,073,056 | $5,238,105 | $832,892 | $181,639 | $652,796 | $1,194,424 | $11,172,912 |
| 112年3月31日 | $3,073,056 | $8,443,750 | $2,286,690 | $952,966 | $2,232,995 | $1,194,424 | $18,183,881 |
| 累計折舊及減損 | - | (3,205,645) | (1,453,798) | (771,327) | (1,580,199) | - | (7,010,969) |
| 合計 | $3,073,056 | $5,238,105 | $832,892 | $181,639 | $652,796 | $1,194,424 | $11,172,912 |

|  | 自有土地 | 建築物 | 機器設備 | 辦公設備 | 其他設備 | 待驗設備 | 合計 |
|---|---|---|---|---|---|---|---|
| 111年1月1日 | $2,967,968 | $8,242,253 | $2,143,173 | $924,897 | $1,977,872 | $447,704 | $16,703,867 |
| 累計折舊及減損 | - | (2,912,359) | (1,414,794) | (734,793) | (1,395,170) | - | (6,457,116) |
| 合計 | $2,967,968 | $5,329,894 | $728,379 | $190,104 | $582,702 | $447,704 | $10,246,751 |
| 111年1月1日 | $2,967,968 | $5,329,894 | $728,379 | $190,104 | $582,702 | $447,704 | $10,246,751 |
| 增添 | 73,783 | 84,789 | 28,841 | 12,381 | 14,338 | 117,842 | 331,974 |
| 處分 | - | - | (63) | (774) | (770) | - | (1,607) |
| 折舊費用 | - | (53,952) | (33,303) | (19,341) | (45,811) | - | (152,407) |
| 重分類 | 21,393 | (14,477) | 37,148 | 816 | 34,774 | (24,187) | 55,467 |
| 外幣兌換差額 | 4,457 | 64,555 | 15,443 | 3,594 | 17,276 | 41 | 105,366 |
| 111年3月31日 | $3,067,601 | $5,410,809 | $776,445 | $186,780 | $602,509 | $541,400 | $10,585,544 |
| 111年3月31日 | $3,067,601 | $8,421,949 | $2,227,642 | $945,929 | $2,032,252 | $541,400 | $17,236,773 |
| 累計折舊及減損 | - | (3,011,140) | (1,451,197) | (759,149) | (1,429,743) | - | (6,651,229) |
| 合計 | $3,067,601 | $5,410,809 | $776,445 | $186,780 | $602,509 | $541,400 | $10,585,544 |

不動產、廠房及設備提供擔保之資訊，請詳附註八之說明。
```
