根据提供的图像，以下是提取的文本和表格信息：

### 文本内容
- 财务报告页面的图像，包含标题、多个表格和周围的解释性文本。
- 特别注意确保数值的准确性和上下文的保留，尤其是在财务数据表示方面。
- 智能处理潜在的图像噪声或失真，以保持数据的完整性。
- 请确保提取的数据准确反映财务报告中的表格数据和文本，提供超出标准OCR通常能力的全面输出。
- 表格资料将以Markdown表格格式呈现，方便后续处理、分析和与RAG结合使用。

### 表格数据
| 名称 | 子公司名称 | 業務性質 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 說明 |
|------|------------|----------|--------------|---------------|--------------|------|
| 華碩 | 宇碩電子(股)公司 (宇碩) | 車用電子及電腦週邊產品之製造及銷售 | 100.00 | 100.00 | 100.00 |  |
| 華碩 | 台灣智慧雲端服務 (股)公司(台智雲) | AI運算之服務 | 100.00 | 100.00 | 100.00 |  |
| 華碩及華誠 | 翔威國際(股)公司 (翔威) | 資訊系統軟體之研發、銷售及諮詢 | 51.00 | 51.00 | 51.00 |  |
| 華碩及華誠 | 國際聯合科技(股)公司(國際聯合) | 噴墨列印頭與噴墨數位影像輸出系統之研發、製造及銷售 | 69.25 | 69.25 | 69.25 |  |
| 華碩及華誠 | 杏碩資訊(股)公司 (杏碩) | 資訊系統之服務 | 51.00 | - | - |  |
| 華碩及華誠 | PT. ASUS TECHNOLOGY INDONESIA BATAM (ACBT) | 印尼地區3C資訊產品之銷售 | 100.00 | 100.00 | 100.00 |  |
| 華碩及華誠 | PT. ASUS TECHNOLOGY INDONESIA JAKARTA (ACJK) | 印尼地區3C資訊產品之銷售 | 100.00 | 100.00 | 100.00 |  |
| 華碩、華誠及華敏 | 祥碩科技(股)公司 (祥碩) | 高速類比電路之設計、研發及製造 | 45.99 | 45.99 | 46.03 |  |
| 華碩、華誠及華敏 | 研揚科技(股)公司 (研揚) | 工業用電腦及電腦週邊產品之製造及銷售 | 40.68 | 40.69 | 40.73 |  |
| 華碩、華敏及研揚 | 醫揚科技(股)公司 (醫揚) | 醫療用電腦之設計、製造及銷售 | 56.80 | 56.80 | 56.80 | 註 |
| 華敏集團 | 翔碩科技(股)公司 (翔碩) | 資訊軟體及電子資訊材料之銷售及維修 | 100.00 | 100.00 | 100.00 |  |
| 翔威集團 | 翔孚電子科技(蘇州)有限公司 (翔孚蘇州) | 資訊系統軟體之銷售及諮詢 | 100.00 | 100.00 | 100.00 |  |
| 亞旭集團 | ASKEY INTERNATIONAL CORP. (ASKEYI) | 資訊通訊產品之銷售及服務 | 100.00 | 100.00 | 100.00 |  |
| 亞旭集團 | DYNALINK INTERNATIONAL CORP. (DIC) | 資訊通訊事業之投資 | 100.00 | 100.00 | 100.00 |  |
| 亞旭集團 | MAGIC INTERNATIONAL CO., LTD. (MIC) | 資訊通訊事業之投資 | 100.00 | 100.00 | 100.00 |  |
| 亞旭集團 | ASKEY (VIETNAM) COMPANY LIMITED (ASKEYVN) | 資訊通訊產品之製造及銷售 | 100.00 | 100.00 | 100.00 |  |
| 亞旭集團 | MAGICOM INTERNATIONAL CORP. (MAGICOM) | 資訊通訊事業之投資 | 100.00 | 100.00 | 100.00 |  |
| 亞旭集團 | 揚旭電子科技(上海)有限公司 (揚旭上海) | 資訊通訊產品之研發及銷售 | 100.00 | 100.00 | 100.00 |  |
| 亞旭集團 | LEADING PROFIT CO., LTD. (LP) | 資訊通訊產品及零組件之銷售 | - | - | 100.00 |  |

### Markdown表格
```markdown
| 名称 | 子公司名称 | 業務性質 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 說明 |
|------|------------|----------|--------------|---------------|--------------|------|
| 華碩 | 宇碩電子(股)公司 (宇碩) | 車用電子及電腦週邊產品之製造及銷售 | 100.00 | 100.00 | 100.00 |  |
| 華碩 | 台灣智慧雲端服務 (股)公司(台智雲) | AI運算之服務 | 100.00 | 100.00 | 100.00 |  |
| 華碩及華誠 | 翔威國際(股)公司 (翔威) | 資訊系統軟體之研發、銷售及諮詢 | 51.00 | 51.00 | 51.00 |  |
| 華碩及華誠 | 國際聯合科技(股)公司(國際聯合) | 噴墨列印頭與噴墨數位影像輸出系統之研發、製造及銷售 | 69.25 | 69.25 | 69.25 |  |
| 華碩及華誠 | 杏碩資訊(股)公司 (杏碩) | 資訊系統之服務 | 51.00 | - | - |  |
| 華碩及華誠 | PT. ASUS TECHNOLOGY INDONESIA BATAM (ACBT) | 印尼地區3C資訊產品之銷售 | 100.00 | 100.00 | 100.00 |  |
| 華碩及華誠 | PT. ASUS TECHNOLOGY INDONESIA JAKARTA (ACJK) | 印尼地區3C資訊產品之銷售 | 100.00 | 100.00 | 100.00 |  |
| 華碩、華誠及華敏 | 祥碩科技(股)公司 (祥碩) | 高速類比電路之設計、研發及製造 | 45.99 | 45.99 | 46.03 |  |
| 華碩、華誠及華敏 | 研揚科技(股)公司 (研揚) | 工業用電腦及電腦週邊產品之製造及銷售 | 40.68 | 40.69 | 40.73 |  |
| 華碩、華敏及研揚 | 醫揚科技(股)公司 (醫揚) | 醫療用電腦之設計、製造及銷售 | 56.80 | 56.80 | 56.80 | 註 |
| 華敏集團 | �
