### (二十二)營業收入

| 项目 | 112年7至9月 | 111年7至9月 |
|------|--------------|--------------|
| 客戶合約之收入 | $ 135,051,873 | $ 144,770,581 |
| 112年1至9月 | $ 362,153,167 | $ 410,115,547 |

#### 1. 客戶合約收入之細分

本集團之收入源於提供隨時間逐步移轉及於某一時點移轉之商品及勞務，收入可細分為下列主要產品線：

| 项目 | 112年7至9月 | 112年1至9月 | 111年7至9月 | 111年1至9月 |
|------|--------------|--------------|--------------|--------------|
| 客戶合約之收入 | $ 133,749,855 | $ 358,080,861 | $ 143,580,640 | $ 406,648,910 |
| 3C資訊產品 | $ 133,645,230 | $ 357,719,607 | $ 143,508,960 | $ 406,449,878 |
| 其他 | $ 1,302,018 | $ 4,072,306 | $ 1,018,051 | $ 3,219,859 |
| 合計 | $ 135,051,873 | $ 362,153,167 | $ 144,770,581 | $ 410,115,547 |

#### 1.1 收入認列時點

| 项目 | 112年7至9月 | 112年1至9月 | 111年7至9月 | 111年1至9月 |
|------|--------------|--------------|--------------|--------------|
| 客戶合約之收入 | $ 133,749,855 | $ 358,080,861 | $ 143,580,640 | $ 406,648,910 |
| 於某一時點認列之收入 | $ 133,645,230 | $ 357,719,607 | $ 143,508,960 | $ 406,449,878 |
| 隨時間逐步認列之收入 | $ 1,302,018 | $ 4,072,306 | $ 1,018,051 | $ 3,219,859 |
| 合計 | $ 135,051,873 | $ 362,153,167 | $ 144,770,581 | $ 410,115,547 |

#### 1.2 收入認列時點

| 项目 | 112年7至9月 | 112年1至9月 | 111年7至9月 | 111年1至9月 |
|------|--------------|--------------|--------------|--------------|
| 客戶合約之收入 | $ 133,749,855 | $ 358,080,861 | $ 143,580,640 | $ 406,648,910 |
| 於某一時點認列之收入 | $ 133,645,230 | $ 357,719,607 | $ 143,508,960 | $ 406,449,878 |
| 隨時間逐步認列之收入 | $ 1,302,018 | $ 4,072,306 | $ 1,018,051 | $ 3,219,859 |
| 合計 | $ 135,051,873 | $ 362,153,167 | $ 144,770,581 | $ 410,115,547 |

#### 1.3 收入認列時點

| 项目 | 112年7至9月 | 112年1至9月 | 111年7至9月 | 111年1至9月 |
|------|--------------|--------------|--------------|--------------|
| 客戶合約之收入 | $ 133,749,855 | $ 358,080,861 | $ 143,580,640 | $ 406,648,910 |
| 於某一時點認列之收入 | $ 133,645,230 | $ 357,719,607 | $ 143,508,960 | $ 406,449,878 |
| 隨時間逐步認列之收入 | $ 1,302,018 | $ 4,072,306 | $ 1,018,051 | $ 3,219,859 |
| 合計 | $ 135,051,873 | $ 362,153,167 | $ 144,770,581 | $ 410,115,547 |

#### 1.4 收入認列時點

| 项目 | 112年7至9月 | 112年1至9月 | 111年7至9月 | 111年1至9月 |
|------|--------------|--------------|--------------|--------------|
| 客戶合約之收入 | $ 133,749,855 | $ 358,080,861 | $ 143,580,640 | $ 406,648,910 |
| 於某一時點認列之收入 | $ 133,645,230 | $ 357,719,607 | $ 143,508,960 | $ 406,449,878 |
| 隨時間逐步認列之收入 | $ 1,302,018 | $ 4,072,306 | $ 1,018,051 | $ 3,219,859 |
| 合計 | $ 135,051,873 | $ 362,153,167 | $ 144,770,581 | $ 410,115,547 |
