### 财务报告分析

#### 1. 现金流量表

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 2. 资产负债表

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 3. 利润表

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 4. 财务比率分析

| 比率 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 5. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 6. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 7. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 8. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 9. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 10. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 11. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 12. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 13. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 14. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 15. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 16. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 17. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 18. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|
| 现金流量 | $ 88,816 | $ 391,152 | $ 284,940 |

#### 19. 财务报表附注

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------
