### (三十一)费用性质之额外资讯

| 项目 | 112年 | 7至9月 | 111年 | 7至9月 |
|------|-------|--------|-------|--------|
| 属于营业成本者 | 属于营业费用者 | 合计 | 属于营业成本者 | 属于营业费用者 | 合计 |
| 员工福利费用 | $5,762,344 | $13,929,715 | $19,692,059 | $5,555,124 | $11,325,947 | $16,881,071 |
| 不动产、厂房及设备 | | | | | | |
| 折旧费用 | $2,418,804 | $2,774,710 | $5,193,514 | $2,600,827 | $1,939,276 | $4,540,103 |
| 使用权资产折旧费用 | $375,196 | $4,349,402 | $4,724,598 | $357,733 | $3,396,650 | $3,754,383 |
| 投资性不动产折旧费用 | $ - | $73,061 | $73,061 | $ - | $45,997 | $45,997 |
| 无形资产摊销 | $18,002 | $351,167 | $369,169 | $17,455 | $217,875 | $235,330 |

### (三十)财务成本

| 项目 | 112年7至9月 | 111年7至9月 |
|------|--------------|--------------|
| 利息费用： | | |
| 银行借款 | $572,133 | $390,559 |
| 租赁负债认列之利息 | 399,141 | 267,232 |
| 减：符合要件之资产资本化金额 | (2,153) | (3,343) |
| | $969,121 | $654,448 |
| 112年1至9月 | 111年1至9月 |
| 利息费用： | | |
| 银行借款 | $1,561,378 | $982,635 |
| 租赁负债认列之利息 | 946,144 | 779,847 |
| 减：符合要件之资产资本化金额 | (2,493) | (11,227) |
| | $2,505,029 | $1,751,255 |
