### 财务报告表格数据输出

#### Markdown表格格式

| 投资公司名称 | 子公司名称 | 业务 | 性质 | 质 | 所持股股权百分比 | 说明 |
|--------------|------------|-----|-----|---|------------------|------|
| Chunghwa Telecom (Thailand) Co., Ltd. | 中华资安国际股份有限公司 | 国际数据专线、IP 虚拟企业网络、ICT、云端加值服务等 | 电脑设备安装、电脑及事务性机器设备批发零售、资讯软件批发零售、管理顾问服务、资料处理服务、电子供应服务、网络认证服务 | 100 | 100 | 100 |
| Senao International (Samoa) Holding Ltd. | 優仕股份有限公司 | 国际投资业务 | 资讯系统发展及维运、产业解决方案之开发与销售、资讯管理顾问咨询、相关产品代理与销售 | 100 | 100 | 100 |
| 優仕股份有限公司 | 優鋒資訊有限公司 | 资讯产品之买卖 | 资讯产品之买卖 | 100 | 100 | 100 |
| 優色資訊有限公司 | 優恩科技股份有限公司 | 资讯产品之买卖 | 资讯产品之买卖 | 100 | 100 | 100 |
| 優仕股份有限公司 | 神揚保险代理人股份有限公司 | 资讯产品之买卖 | 资讯产品之买卖 | 100 | 100 | 100 |
| 優仕股份有限公司 | 领航电信股份有限公司 | 资讯产品之买卖 | 资讯产品之买卖 | 100 | 100 | 100 |
| Chief International Corp. | 上海是泰网络科技有限公司 | 资讯产品之买卖 | 资讯产品之买卖 | 100 | 100 | 100 |
| 中华投资股份有限公司 | 中华精测科技股份有限公司 | 半导体测试零组件及印刷电路板等电子产品的生产销售 | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 100 | 100 | 100 |
| 中华精测科技股份有限公司 | CHPT Japan Co., Ltd. | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 100 | 100 | 100 |
| 中华精测科技股份有限公司 | Chunghwa Precision Test Tech USA Corporation | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 100 | 100 | 100 |
| 中华精测科技股份有限公司 | CHPT Japan Co., Ltd. | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 100 | 100 | 100 |
| 中华精测科技股份有限公司 | Chunghwa Precision Test Tech. International, Ltd. | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 100 | 100 | 100 |
| 中华精测科技股份有限公司 | 测冠投资股份有限公司 | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 100 | 100 | 100 |
| 中华精测科技股份有限公司 | 测冠投资股份有限公司 | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 半导体测试零组件及印刷电路板之接案设计及售後服务 | 100 | 100 | 100 |
