### 十七、商誉

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|------------------|------------------|
| 期初余额 | $47,848,779 | $44,131,198 |
| 本期企业合并取得（附注二八） | 1,240,954 | - |
| 损益摊销差额 | 1,946,513 | 4,882,773 |
| 期末余额 | $51,036,246 | $49,013,971 |

### 十八、其他无形资产

| 项目 | 电脑软件 | 专利权及技术 | 客户关系 | 商标权及品牌 | 其他无形资产 | 合计 |
|------|------------|--------------|------------|--------------|--------------|------|
| 112年1月1日余额 | $2,390,773 | $2,304,866 | $1,418,444 | $20,326,723 | $1,533,976 | $27,974,782 |
| 单独取得 | 39,716 | - | - | - | 216,454 | 256,170 |
| 由企业合并所取得（附注二八） | 16,013 | - | - | - | - | 16,013 |
| 处分 | (100,434) | - | - | - | - | (100,434) |
| 重分类 | 183,319 | - | - | - | (154,267) | 29,052 |
| 损益摊销差额 | 103,780 | 132,889 | 54,938 | 910,230 | 80,586 | 1,282,423 |
| 112年9月30日余额 | $2,633,167 | $2,437,755 | $1,473,382 | $21,236,953 | $1,676,749 | $29,458,006 |

| 项目 | 112年1月1日余额 | 112年9月30日余额 | 111年12月31日及112年1月1日余额 |
|------|------------------|------------------|----------------------------------|
| 累计摊销及减损 | $1,988,425 | $2,181,288 | $451,879 |
| 摊销费用 | 207,857 | 181,655 | 105,800 |
| 处分 | (85,032) | - | - |
| 损益摊销差额 | 70,038 | 34,372 | 22,213 |
| 112年9月30日余额 | $2,181,288 | $964,200 | $658,041 |
| 112年9月30日净额 | $451,879 | $1,473,555 | $815,341 |
| 111年12月31日及112年1月1日净额 | $402,348 | $1,556,693 | $888,416 |

| 项目 | 111年1月1日余额 | 111年9月30日余额 | 111年9月30日余额 |
|------|------------------|------------------|----------------------------------|
| 累计摊销及减损 | $1,824,807 | $2,186,163 | $621,659 |
| 摊销费用 | 224,400 | 176,298 | 104,449 |
| 处分 | (1,338) | - | - |
| 损益摊销差额 | 138,294 | 55,183 | 38,459 |
| 111年9月30日余额 | $2,186,163 | $705,304 | $506,561 |
| 111年9月30日净额 | $2,186,163 | $506,561 | $159 |

### 由企业合并所分别取得之部分商标权、品牌及其他无形资产，合併公司考量所处产业特性、产品週期及企业本身之特性，合併公司認為該部分商標权、品牌及其他无形资产预期产生非确定耐用年限之净现金流入，故屬非确定耐用年限无形资产。該部分商標权、品牌及其他无形资产之耐用年限在确定为有限之前将不會摊销，惟無論是否有任何減損跡象，每年定期进行減損測試。
