### 财务报告

#### 1. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 2. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 3. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 4. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 5. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 6. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 7. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 8. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 9. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 10. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 11. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 12. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 13. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 期初餘額 | $ 4,302,923 |
| 認列於損益 | 5,326 |
| 購買 | 7,563,121 |
| 處分 | (9,595,522) |
| 外幣兌換差額之影響 | 53,727 |
| 期末餘額 | $ 2,329,575 |

#### 14. 金融工具以第3等級公允價值衡量之調節

| 项目 | 112年1月1日至9月30日 |
|------|----------------------|
| 
