### (二十九)来自筹资活动之负债之变动

| 项目 | 111年1月1日 | 111年3月31日 | 110年1月1日 | 110年3月31日 |
|------|--------------|---------------|--------------|--------------|
| 短期借款 | $ 17,512,874 | $ 18,148,209 | $ 19,055,620 | $ 25,503,685 |
| 应付短期票券 | $ 17,796,625 | $ 20,246,274 | $ 16,096,733 | $ 16,547,309 |
| (含一年内到期部分) | $ 50,050,000 | $ 48,950,000 | $ 42,100,000 | $ 42,100,000 |
| 长期借款 | $ 17,177,183 | $ 18,431,794 | $ 16,298,088 | $ 16,383,707 |
| (含一年内到期部分) | $ 1,032,037 | $ 222,574 | $ 116,757 | $ (31,138) |
| 之负债总额 | $ 102,536,682 | $ 105,776,277 | $ 93,550,441 | $ 100,534,701 |

### (二十九)来自筹资活动之负债之变动

| 项目 | 111年1月1日 | 111年3月31日 | 110年1月1日 | 110年3月31日 |
|------|--------------|---------------|--------------|--------------|
| 短期借款 | $ 17,512,874 | $ 18,148,209 | $ 19,055,620 | $ 25,503,685 |
| 应付短期票券 | $ 17,796,625 | $ 20,246,274 | $ 16,096,733 | $ 16,547,309 |
| (含一年内到期部分) | $ 50,050,000 | $ 48,950,000 | $ 42,100,000 | $ 42,100,000 |
| 长期借款 | $ 17,177,183 | $ 18,431,794 | $ 16,298,088 | $ 16,383,707 |
| (含一年内到期部分) | $ 1,032,037 | $ 222,574 | $ 116,757 | $ (31,138) |
| 之负债总额 | $ 102,536,682 | $ 105,776,277 | $ 93,550,441 | $ 100,534,701 |

### (二十九)来自筹资活动之负债之变动

| 项目 | 111年1月1日 | 111年3月31日 | 110年1月1日 | 110年3月31日 |
|------|--------------|---------------|--------------|--------------|
| 短期借款 | $ 17,512,874 | $ 18,148,209 | $ 19,055,620 | $ 25,503,685 |
| 应付短期票券 | $ 17,796,625 | $ 20,246,274 | $ 16,096,733 | $ 16,547,309 |
| (含一年内到期部分) | $ 50,050,000 | $ 48,950,000 | $ 42,100,000 | $ 42,100,000 |
| 长期借款 | $ 17,177,183 | $ 18,431,794 | $ 16,298,088 | $ 16,383,707 |
| (含一年内到期部分) | $ 1,032,037 | $ 222,574 | $ 116,757 | $ (31,138) |
| 之负债总额 | $ 102,536,682 | $ 105,776,277 | $ 93,550,441 | $ 100,534,701 |
