```markdown
|  | 短期借款 | 應付短期票券 | 應付公司債 | 長期借款 | 租賃負債 | 存入保證金 | 負債總額 |
|---|---|---|---|---|---|---|---|
| 112年1月1日餘額 | $ 33,263,107 | $ 7,371,738 | $ 51,050,000 | $ 24,136,590 | $ 88,501,939 | $ 6,741,365 | $ 211,064,739 |
| 繳資現金流量之變動 | 13,222,065 | 11,153,288 | 7,400,000 | 4,648,164 | (11,525,348) | 822,753 | 25,720,922 |
| 本期新增及重衡量 | - | - | - | - | 17,155,895 | - | 17,155,895 |
| 本期減少 | - | - | - | - | (1,725,125) | - | (1,725,125) |
| 企業合併影響數 | 61,243 | - | - | 42,778 | 24,030,967 | 362,509 | 24,497,497 |
| 匯率變動之影響 | - | - | - | 9,796 | 125,716 | - | 135,512 |
| 112年9月30日餘額 | $ 46,546,415 | $ 18,525,026 | $ 58,450,000 | $ 28,837,328 | $ 116,564,044 | $ 7,926,627 | $ 276,849,440 |

|  | 短期借款 | 應付短期票券 | 應付公司債 | 長期借款 | 租賃負債 | 存入保證金 | 負債總額 |
|---|---|---|---|---|---|---|---|
| 111年1月1日餘額 | $ 24,530,062 | $ 11,178,763 | $ 52,050,000 | $ 14,083,293 | $ 79,747,850 | $ 6,555,269 | $ 188,145,237 |
| 繳資現金流量之變動 | 18,561,967 | (4,505,306) | (1,000,000) | 6,906,699 | (10,685,711) | 338,131 | 9,615,780 |
| 其他非現金之變動 | - | - | - | - | 18,207,874 | - | 18,207,874 |
| 匯率變動之影響 | - | - | - | 29,524 | (29,824) | - | (300) |
| 111年9月30日餘額 | $ 43,092,029 | $ 6,673,457 | $ 51,050,000 | $ 21,019,516 | $ 87,240,189 | $ 6,893,400 | $ 215,968,591 |
```
