```markdown
# 華碩電腦股份有限公司及子公司

## 合併資產負債表

民國 112 年 3 月 31 日及民國 111 年 12 月 31 日、3 月 31 日

(民國 112 年及 111 年 3 月 31 日之合併資產負債表未經核閱，未依審計準則查核)

## 單位：新台幣仟元

| 負債及權益 | 附註 | 112 年 3 月 31 日 | 111 年 12 月 31 日 | 111 年 3 月 31 日 |
| --- | --- | --- | --- | --- |
| 流動負債 |  |  |  |  |
| 2100 | 短期借款 | 六(十三) | $35,035,893 | 8 | $48,897,458 | 10 | $10,561,948 | 2 |
| 2120 | 透過損益按公允價值衡量之金融負債－流動 | 六(二) | 438,203 | - | 1,585,793 | - | 243,544 | - |
| 2126 | 避險之金融負債－流動 | 六(五) | 513,056 | - | 1,933,650 | 1 | 227,824 | - |
| 2130 | 合約負債－流動 | 六(二十二) | 2,600,088 | 1 | 2,301,547 | 1 | 3,303,122 | 1 |
| 2170 | 應付票據及帳款 | 六(七)及七 | 60,518,269 | 13 | 51,368,369 | 11 | 91,768,852 | 18 |
| 220X | 其他應付款－應付費用 | 七 | 34,858,836 | 7 | 38,943,789 | 8 | 42,674,989 | 8 |
| 2230 | 本期所得稅負債 |  | 9,590,560 | 2 | 9,489,977 | 2 | 18,932,279 | 4 |
| 2250 | 負債準備－流動 | 六(十六)及九 | 32,085,303 | 7 | 32,584,520 | 7 | 29,090,048 | 6 |
| 2280 | 租賃負債－流動 |  | 540,731 | - | 470,211 | - | 481,311 | - |
| 2320 | 一年或一營業週期內到期長期負債 | 六(十四) | 10,331 | - | 10,377 | - | 10,591 | - |
| 期負債 |  |  |  |  |  |  |  |  |
| 2365 | 退款負債－流動 | 六(十七) | 26,999,371 | 6 | 30,083,875 | 6 | 33,323,022 | 6 |
| 2399 | 其他流動負債－其他 | 七 | 5,453,796 | 1 | 5,007,712 | 1 | 5,601,307 | 1 |
| 21XX | 流動負債合計 |  | 208,644,437 | 45 | 222,677,278 | 47 | 236,218,837 | 46 |
| 非流動負債 |  |  |  |  |  |  |  |  |
| 2540 | 長期借款 | 六(十四) | 142,370 | - | 144,910 | - | 152,522 | - |
| 2570 | 遞延所得稅負債 |  | 18,376,188 | 4 | 18,344,096 | 4 | 17,366,370 | 4 |
| 2580 | 租賃負債－非流動 |  | 961,037 | - | 908,928 | - | 905,618 | - |
| 2600 | 其他非流動負債 | 六(十五) | 2,155,014 | 1 | 2,200,671 | 1 | 1,160,293 | - |
| 25XX | 非流動負債合計 |  | 21,634,609 | 5 | 21,598,605 | 5 | 19,584,803 | 4 |
| 2XXX | 負債總計 |  | 230,279,046 | 50 | 244,275,883 | 52 | 255,803,640 | 50 |
| 歸屬於母公司業主之權益 |  |  |  |  |  |  |  |  |
| 3110 | 普通股股本 | 六(十八) | 7,427,603 | 1 | 7,427,603 | 1 | 7,427,603 | 1 |
| 3200 | 資本公積 | 六(十九) | 11,654,115 | 3 | 11,744,485 | 3 | 11,399,490 | 2 |
| 保留盈餘 | 六(二十) |  |  |  |  |  |  |  |
| 3310 | 法定盈餘公積 |  | 43,977,035 | 9 | 43,977,035 | 9 | 39,274,878 | 8 |
| 3320 | 特別盈餘公積 |  | 693,928 | - | 693,928 | - | 693,928 | - |
| 3350 | 未分配盈餘 | 六(三)(五) | 112,201,033 | 24 | 113,873,089 | 24 | 145,515,288 | 28 |
| 3400 | 其他權益 |  | 43,178,464 | 10 | 34,664,340 | 8 | 41,551,504 | 8 |
| (二十一) |  |  |  |  |  |  |  |  |
| 31XX | 歸屬於母公司業主之權益合計 |  | 219,132,178 | 47 | 212,380,480 | 45 | 245,862,691 | 47 |
| 36XX | 非控制權益 |  | 14,521,434 | 3 | 14,508,351 | 3 | 14,106,079 | 3 |
| 3XXX | 權益總計 |  | 233,653,612 | 5
