```markdown
| 投資公司 | 子公司 | 業務性質 | 合併所持股權百分比 |
| --- | --- | --- | --- |
| 編號 | 名稱 | 名稱 | 112年 | 111年 | 111年 | 說明 |
| 130. March Networks Corporation | March Networks (Singapore) Pte. Limited | 安全監控軟硬體和相關工程服務 | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 131. | March Networks B.V. | " | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 132. March Networks B.V. | March Networks S.r.l. | " | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 133. | March Networks (France) SAS | " | 100.00 | 100.00 | 100.00 | （註1）（註2） |
| 134. DHK | 台達電子(重慶)有限公司 | 生產新能源汽車電子零件及電子設備電源零件 | 100.00 | 100.00 | 100.00 | （註1）（註2）（註8） |
| 135. 台達電子工業股份有限公司 | 達慧互聯股份有限公司（達慧） | 提供行業應用加值整合服務 | 70.00 | 70.00 | - | （註1）（註8） |
| 136. 台達電子工業股份有限公司、台達資本 | 碳基半導體股份有限公司（碳基） | 氮化鎵技術與解決方案 | 74.28 | 74.28 | - | （註1）（註8） |
| 137. DIH | UI Acquisition Holding Co. | 投資事業 | 100.00 | 100.00 | - | （註1）（註8） |
| 138. UI Acquisition Holding Co. | UI Holding Co. | " | 100.00 | 100.00 | - | （註1）（註8） |
| 139. UI Holding Co. | Universal Instruments Corporation | 自動化設備解決方案 | 100.00 | 100.00 | - | （註1）（註8） |
| 140. | Hover-Davis, Inc. | " | 100.00 | 100.00 | - | （註1）（註8） |
| 141. UI Acquisition Holding Co.、UI Holding Co. | UI European Holdco. Cooperatief U.A. | 投資事業 | 100.00 | 100.00 | - | （註1）（註8） |
| 142. UI European Holdco. Cooperatief U.A. | 環球儀器(香港)有限公司 | 自動化設備解決方案 | 100.00 | 100.00 | - | （註1）（註8） |
| 143. | Universal Instruments s.r.o. | " | 100.00 | 100.00 | - | （註1）（註8） |
| 144. | 環儀精密設備製造(深圳)有限公司 | " | 100.00 | 100.00 | - | （註1）（註8） |
```
