根据提供的图像，以下是处理后的文本和表格数据输出：

### 文本输出
本集团经评估上述准则及解释对本集团财务状况与财务绩效并无重大影响。

(三)国际会计准则理事会已发布但尚未经金管会认可之国际财务报告准则之影响

下表列国际会计准则理事会已发布但尚未纳入金管会认可之国际财务报告准则之新发布、修正及修订之准则及解释：

| 新发布/修正/修订准则及解释 | 发布之生效日 |
|--------------------------------|----------------|
| 国际财务报告准则第10号及国际会计准则第28号之修正「投资者与其关联企业或合资间之资产出售或投入」 | 待国际会计准则理事会决定 |
| 国际财务报告准则第16号之修正「售後租回中之租賃負債」 | 民國113年1月1日 |
| 国际财务报告准则第17号「保险合约」 | 民國112年1月1日 |
| 国际财务报告准则第17号「保险合约」之修正 | 民國112年1月1日 |
| 国际财务报告准则第17号之修正「初次適用国际财务报告准则第17号及国际财务报告准则第9号—比较資訊」 | 民國112年1月1日 |
| 国际会计准则第1号之修正「負債之流動或非流動分類」 | 民國113年1月1日 |
| 国际会计准则第1号之修正「具合約條款之非流動負債」 | 民國113年1月1日 |

本集团经评估上述准则及解释对本集团财务状况与财务绩效并无重大影响。

### 表格数据输出
| 新发布/修正/修订准则及解释 | 发布之生效日 |
|--------------------------------|----------------|
| 国际财务报告准则第10号及国际会计准则第28号之修正「投资者与其关联企业或合资间之资产出售或投入」 | 待国际会计准则理事会决定 |
| 国际财务报告准则第16号之修正「售後租回中之租賃負債」 | 民國113年1月1日 |
| 国际财务报告准则第17号「保险合约」 | 民國112年1月1日 |
| 国际财务报告准则第17号「保险合约」之修正 | 民國112年1月1日 |
| 国际财务报告准则第17号之修正「初次適用国际财务报告准则第17号及国际财务报告准则第9号—比较資訊」 | 民國112年1月1日 |
| 国际会计准则第1号之修正「負債之流動或非流動分類」 | 民國113年1月1日 |
| 国际会计准则第1号之修正「具合約條款之非流動負債」 | 民國113年1月1日 |

### Markdown表格格式示例
| 新发布/修正/修订准则及解释 | 发布之生效日 |
|--------------------------------|----------------|
| 国际财务报告准则第10号及国际会计准则第28号之修正「投资者与其关联企业或合资间之资产出售或投入」 | 待国际会计准则理事会决定 |
| 国际财务报告准则第16号之修正「售後租回中之租賃負債」 | 民國113年1月1日 |
| 国际财务报告准则第17号「保险合约」 | 民國112年1月1日 |
| 国际财务报告准则第17号「保险合约」之修正 | 民國112年1月1日 |
| 国际财务报告准则第17号之修正「初次適用国际财务报告准则第17号及国际财务报告准则第9号—比较資訊」 | 民國112年1月1日 |
| 国际会计准则第1号之修正「負債之流動或非流動分類」 | 民國113年1月1日 |
| 国际会计准则第1号之修正「具合約條款之非流動負債」 | 民國113年1月1日 |
