根据提供的图像，以下是提取的文本和表格信息：

### 文本内容
- (注1)该等非重要子公司于民国111年及110年第三季财务报表未经会计师核阅。
- (注2)系本集团之综合持股。

### 表格数据
| 投资公司名称 | 子公司名称 | 持股百分比 | 111年9月30日 | 110年12月31日 | 110年9月30日 | 股权性质 | 说明 |
|--------------|------------|------------|--------------|---------------|--------------|----------|------|
| 统一超商(股)公司 | 统一超保险经纪公司 | 100.00 | 100.00 | 100.00 | 100.00 | 人身及财产保险 | (注1) |
| 统一超商(股)公司 | 酷圣石冰淇淋(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | 餐饮业 | (注1) |
| 统一超商(股)公司 | 统一兰阳艺文(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | 艺文展览业 | (注1) |
| 统一超商(股)公司 | 统一佳佳(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | 休闲活动场所提供、塑身美容之顾问 | (注1) |
| 统一超商(股)公司 | 二十一世纪生活事业(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | 速食连锁餐饮 | (注1) |
| 统一超商(股)公司 | 统一超商东京行销株式会社 | 100.00 | 100.00 | 100.00 | 100.00 | 企业管理顾问 | (注1) |
| 统一超商(股)公司 | 英属维京群岛商统一超商药妆事业中国控股有限公司及子公司 | 100.00 | 100.00 | 100.00 | 100.00 | 专业投资等 | (注1) |
| 统一超商(股)公司 | 爱金卡(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | 经营电子票证业务 | (注1) |
| 统一超商(股)公司 | 尊联科技(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | 其他软件及网络相关业务 | (注5) |
| 统一超商(股)公司 | 悠旅生活事业(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | 连锁咖啡 | (注2) |
| 统一超商(股)公司 | 统一精工(股)公司及子公司 | 99.76 | 99.76 | 99.76 | 99.76 | 加油站之经营及电梯等 | (注2) |
| 统一超商(股)公司 | 统一速达(股)公司 | 90.00 | 90.00 | 90.00 | 90.00 | 食品及用品货运 | (注2) |
| 统一超商(股)公司 | 统一超食代(股)公司 | 90.00 | 90.00 | 90.00 | 90.00 | 鲜食调理、研发 | (注1) |
| 统一超商(股)公司 | 安源资讯(股)公司 | 86.76 | 86.76 | 86.76 | 86.76 | 企业资讯管理顾问服务 | (注1) |
| 统一超商(股)公司 | 统一资讯(股)公司 | 86.00 | 86.00 | 86.00 | 86.00 | 企业资讯管理顾问服务 | (注2) |
| 统一超商(股)公司 | 统一药品(股)公司及子公司 | 73.74 | 73.74 | 73.74 | 73.74 | 药品、医疗仪器之批发等 | (注2) |
| 统一超商(股)公司 | 统一客乐得服务(股)公司 | 70.00 | 70.00 | 70.00 | 70.00 | 接受事业机关委托收费 | (注2) |
| 统一超商(股)公司 | 捷盟行销(股)公司及子公司 | 65.00 | 65.00 | 65.00 | 65.00 | 物流配送等 | (注2) |
| 统一超商(股)公司 | 樂清服务(股)公司及子公司 | 51.00 | 51.00 | 51.00 | 51.00 | 清洁用品零售贩卖等 | (注2) |
| 统一超商(股)公司 | 博客来数位科技(股)公司及子公司 | 50.03 | 50.03 | 50.03 | 50.03 | 网路书店之经营等 | (注2) |

### Markdown表格格式
```markdown
| 投资公司名称 | 子公司名称 | 持股百分比 | 111年9月30日 | 110年12月31日 | 110年9月30日 | 股权性质 | 说明 |
|--------------|------------|------------|--------------|---------------|--------------|----------|------|
| 统一超商(股)公司 | 统一超保险经纪公司 | 100.00 | 100.00 | 100.00 | 100.00 | 人身及财产保险 | (注1) |
| 统一超商(股)公司 | 酷圣石冰淇淋(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | 餐饮业 | (注1) |
| 统一超商(股)公司 | 统一兰阳艺文(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | 艺文展览业 | (注1) |
| 统一超商(股)公司 | 统一佳佳(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | 休闲活动场所提供、塑身美容之顾问 | (注1) |
| 统一超商(股)公司 | 二十一世纪生活事业(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | 速食连锁餐饮 | (注1) |
| 统一超商(股)公司 | 统一超商东京行销株式会社 | 100.00 | 100.00 | 100.00 | 100.00 | 企业管理顾问 | (注1) |
| 统一超商(股)公司 | 英属维京群岛商统一超商药妆事业中国控股有限公司及子公司 | 100.00 | 100.00 | 100.00 | 100.00 | 专业投资等 | (注1) |
| 统一超商(股)公司 | 爱金卡(股)公司 | 100.00 | 100.00 | 100.00 | 100.00 | �
