### 财务报告

#### 合并现金流量表
**光宝科技股份有限公司及子公司**
**民國 111 年及 110 年 2 月 1 日至 3 月 31 日**
**（僅經核閱，未依一般公認審計準則查核）**

**單位：新台幣仟元**

| 代 碼 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|-------|---------------------|---------------------|
| A10000 | 稅前淨利 | $ 2,656,867 | $ 5,487,315 |
| A20010 | 收益費損項目 | | |
| A20100 | 折舊費用 | 1,067,205 | 947,557 |
| A20200 | 損銷費用 | 36,355 | 44,923 |
| A20300 | 預期信用減損損失 | 1,719 | 537,955 |
| A20400 | 透過損益按公允價值衡量金融資產及負債之淨益 | (292,030) | (3,535,394) |
| A20900 | 利息費用 | 58,749 | 39,506 |
| A21200 | 利息收入 | (147,606) | (167,057) |
| A22300 | 採用權益法認列之關聯企業損失份額 | 1,581 | 2,860 |
| A22500 | 處分不動產、廠房及設備淨益 | (5,553) | (9,392) |
| A23700 | 非金融資產減損損失 | 195,580 | 139,352 |
| A24100 | 未實現外幣兌換淨損 | 854,753 | 330,126 |
| A29900 | 處分子公司淨損 | - | 24,035 |
| A29900 | 提列（迴轉）負債準備 | (34) | 62,365 |
| A30000 | 營業資產及負債之淨變動數 | | |
| A31115 | 強制透過損益按公允價值衡量之金融資產 | 209,749 | 550,325 |
| A31125 | 合約資產 | 85,473 | 185,075 |
| A31130 | 應收票據 | (148,792) | 159,897 |
| A31150 | 應收帳款 | 3,732,319 | 2,879,787 |
| A31160 | 應收帳款－關係人 | 104 | 26,204 |
| A31180 | 其他應收款 | (155,924) | 1,085,685 |
| A31190 | 其他應收款－關係人 | 3,265 | 2,157 |
| A31200 | 存貨 | 1,736,912 | (1,649,254) |
| A31240 | 其他流動資產 | (162,938) | (375,148) |
| A32130 | 應付票據 | (32) | 143 |
| A32150 | 應付帳款 | (3,407,184) | 760,106 |
| A32160 | 應付帳款－關係人 | (37,635) | (208,180) |

**（接次頁）**

**- 10 -**
