### 财务报告

#### 1. 销售

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 商品销售： | | |
| - 关联企业 | $71,235,199 | $84,731,935 |
| - 其他关系人 | $5,988,532 | $8,614,256 |
| 总计 | $77,223,731 | $93,346,191 |

上开金额包含管理服务收入。除无相关同类交易可循，其交易条件系由双方协商决定外，其馀本集团销售予上开关系人之价格与一般客户销售价格相近；本集团对于一般客户收款期间均约为45~90天。本集团销售部分上开关系人原料再购回部份成品之交易，已依经济实质消除其原料销货。

#### 2. 进货

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|------|---------------------|---------------------|
| 商品购买： | | |
| - 关联企业 | $14,955,123 | $12,106,541 |
| - 其他关系人 | $1,567,743 | $911,914 |
| 总计 | $16,522,866 | $13,018,455 |

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|
| 商品购买： | | |
| - 关联企业 | $37,110,210 | $35,021,044 |
| - 其他关系人 | $3,312,140 | $3,401,629 |
| 总计 | $40,422,350 | $38,422,673 |

除无相关同类交易可循，其交易条件系由双方协商决定外，其馀本集团係依时价向上开关系人进货；本集团对于一般供应商及关系人之付款期间分别约为45~90天及30~90天。
