### 财务报告表格数据输出

#### Markdown表格格式

| 投资公司名稱 | 子公司名稱 | 業務性質 | 112年3月31日 | 111年12月31日 | 111年3月31日 | 說明 |
|--------------|------------|----------|--------------|---------------|--------------|------|
| 台化公司     | 台化出光公司 | 石油化學原料及塑膠原料批發零售 | 50.00         | 50.00         | 50.00       | 本公司對其具有實質控制能力，故將該公司視為子公司(註3) |
| 台化公司     | 台灣醋酸公司 | 化學、石化國貿 | 50.00         | 50.00         | 50.00       | 本公司對其具有實質控制能力，故將該公司視為子公司(註3) |
| 台化公司     | 嘉南實業公司 | 水力發電 | 51.00         | 51.00         | 51.00       | 本公司持有其表決權超過50%(註3) |
| 台化公司     | 台灣興業公司 | 紡織、聚酯棉、絲、水電蒸汽之產銷 | 42.50         | 42.50         | 42.50       | 本公司對其具有實質控制能力，故將該公司視為子公司(註3) |
| 台化公司     | 福懋興業公司 | 聚胺織物、聚酯織物、純棉織物、混紡織物及輪胎簾布之產銷 | 37.40         | 37.40         | 37.40       | 本公司對其具有實質控制能力，故將該公司視為子公司 |
| 台化投資(開曼)公司 | 台塑集團熱電公司 | 汽電共生發電業務 | 100.00        | 100.00        | 100.00      | 台化公司透過100%持有之台化投資(開曼)公司持有其表決權超過50%(註3) |
| 台化投資(開曼)公司 | 台化香港公司 | 投資 | 100.00        | 100.00        | 100.00      | 台化公司透過100%持有之台化投資(開曼)公司持有其表決權超過50% |
| 台化香港公司 | 台化興業公司 | PTA、PS、ABS及Phenol產銷業務 | 100.00        | 100.00        | 100.00      | 台化公司透過100%持有之台化投資(香港)公司持有其表決權超過50% |

#### 文本输出

| 投資公司名稱 | 子公司名稱 | 業務性質 | 112年3月31日 | 111年12月31日 | 111年3月31日 | 說明 |
|--------------|------------|----------|--------------|---------------|--------------|------|
| 台化公司     | 台化出光公司 | 石油化學原料及塑膠原料批發零售 | 50.00         | 50.00         | 50.00       | 本公司對其具有實質控制能力，故將該公司視為子公司(註3) |
| 台化公司     | 台灣醋酸公司 | 化學、石化國貿 | 50.00         | 50.00         | 50.00       | 本公司對其具有實質控制能力，故將該公司視為子公司(註3) |
| 台化公司     | 嘉南實業公司 | 水力發電 | 51.00         | 51.00         | 51.00       | 本公司持有其表決權超過50%(註3) |
| 台化公司     | 台灣興業公司 | 紡織、聚酯棉、絲、水電蒸汽之產銷 | 42.50         | 42.50         | 42.50       | 本公司對其具有實質控制能力，故將該公司視為子公司(註3) |
| 台化公司     | 福懋興業公司 | 聚胺織物、聚酯織物、純棉織物、混紡織物及輪胎簾布之產銷 | 37.40         | 37.40         | 37.40       | 本公司對其具有實質控制能力，故將該公司視為子公司 |
| 台化投資(開曼)公司 | 台塑集團熱電公司 | 汽電共生發電業務 | 100.00        | 100.00        | 100.00      | 台化公司透過100%持有之台化投資(開曼)公司持有其表決權超過50%(註3) |
| 台化投資(開曼)公司 | 台化香港公司 | 投資 | 100.00        | 100.00        | 100.00      | 台化公司透過100%持有之台化投資(開曼)公司持有其表決權超過50% |
| 台化香港公司 | 台化興業公司 | PTA、PS、ABS及Phenol產銷業務 | 100.00        | 100.00        | 100.00      | 台化公司透過100%持有之台化投資(香港)公司持有其表決權超過50% |
