由于图像中的内容是中文文本，无法直接提取表格数据。以下是对文本内容的分析和结构化输出：

### 透过损益按公允价值衡量之金融资产

1. 係指非属按摊销後成本衡量或透过其他综合损益按公允价值衡量之金融资产。属按摊销後成本衡量或透过其他综合损益按公允价值衡量之金融资产，当可消除或重大减少衡量或认列不一致时，本集团於原始认列时指定为透过损益按公允价值衡量之金融资产。
2. 本集团对于符合惯例交易之透过损益按公允价值衡量之金融资产係採用交易日会计。
3. 本集团於原始认列时按公允价值衡量，相关交易成本认列於损益，後续按公允价值衡量，其利益或损失认列於损益。
4. 當收取股利之权利确立，与股利有关之经济效益很有可能流入，及股利金额能可靠衡量时，本集团於损益认列股利收入。

### 透过其他综合损益按公允价值衡量之金融资产

1. 係指原始认列时作一不可撤銷之选择，将非持有供交易之權益工具投資的公允价值变动列报於其他综合损益；或同时符合下列条件之债务工具投资：
   - (1)在以收取合约现金流量及出售为目的之经营模式下持有该金融资产。
   - (2)该金融资产之合约条款产生特定日期之现金流量，完全为支付本金及流通在外本金金额之利息。
2. 本集团对于符合交易惯例之透过其他综合损益按公允价值衡量之金融资产係採用交易日会计。
3. 本集团於原始认列时按其公允价值加计交易成本衡量，後续按公允价值衡量：
   - (1)属權益工具之公允价值变动认列於其他综合损益，於除列时，先前认列於其他综合损益之累积利益或损失後续不得重分类至损益，转列至保留盈餘项下。當收取股利之权利确立，与股利有关之经济效益很有可能流入，及股利金额能可靠衡量时，本集团於损益认列股利收入。
   - (2)属債務工具之公允价值变动认列於其他综合损益，於除列前之减损损失、利息收入及外幣兌换损益认列於损益，於除列时，先前认列於其他综合损益之累积利益或损失将自權益重分类至损益。

### 应收帐款及票据

1. 係指依合约约定，已具无条件收取因移转商品或劳务所换得对价金额权利之帐款及票据。
2. 属未付息之短期应收帐款及票据，因折现之影响不大，本集团係以原始发票金额衡量。

请注意，以上结构化输出是基于文本内容的分析和理解，未包含表格数据。
