### 111年12月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過損益按公允價值衡量之 | | | | |
| 金融資產 | | | | |
| 衍生工具 | $ - | $ 656,991 | $ 283 | $ 657,274 |
| 國外上市（櫃）股票 | 108,128 | - | - | 108,128 |
| 國內未上市（櫃）股票 | - | - | 46,104 | 46,104 |
| 國外未上市（櫃）股票 | - | - | 653 | 653 |
| 國外私募基金 | - | - | 362,719 | 362,719 |
| 結構型商品 | - | 808,352 | - | 808,352 |
| 結構式存款 | - | - | 3,893,164 | 3,893,164 |
| 合計 | $ 108,128 | $ 1,465,343 | $ 4,302,923 | $ 5,876,394 |
| 透過其他綜合損益按公允價值衡量之 | | | | |
| 金融資產 | | | | |
| 權益工具投資 | | | | |
| 國內上市（櫃）股票 | $ 812,139 | $ - | $ - | $ 812,139 |
| 透過損益按公允價值衡量之 | | | | |
| 金融負債 | | | | |
| 衍生工具 | $ - | $ 178,032 | $ 32,322 | $ 210,354 |
| 避險之金融資產 | | | | |
| 現金流量避險 | | | | |
| －遠期外匯合約 | $ - | $ 161,905 | $ - | $ 161,905 |
| 國外營運機構淨投資避險 | | | | |
| －換匯換利合約 | - | 831,882 | - | 831,882 |
| 合計 | $ - | $ 993,787 | $ - | $ 993,787 |
| 避險之金融負債 | | | | |
| 現金流量避險 | | | | |
| －遠期外匯合約 | $ - | $ 7,541 | $ - | $ 7,541 |
| －換匯換利合約 | - | 940,826 | - | 940,826 |
| 合計 | $ - | $ 948,367 | $ - | $ 948,367 |

### 111年3月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過損益按公允價值衡量之 | | | | |
| 金融資產 | | | | |
| 衍生工具 | $ - | $ 643,524 | $ 848 | $ 644,372 |
| 國外上市（櫃）股票 | 209,036 | - | - | 209,036 |
| 國內未上市（櫃）股票 | - | - | 46,104 | 46,104 |
| 國外未上市（櫃）股票 | - | - | 632 | 632 |
| 國外公募基金 | 220,276 | - | - | 220,276 |
| 國外私募基金 | - | - | 367,599 | 367,599 |
| 結構型商品 | - | 562,594 | - | 562,594 |
| 結構式存款 | - | 708,845 | 2,358,366 | 3,067,211 |
| 合計 | $ 429,312 | $ 1,914,963 | $ 2,773,549 | $ 5,117,824 |

(接次頁)
