### 财务报告

#### 111年1月1日至3月31日

| 项目 | 金额（单位：美元） |
|------|---------------------|
| 期初余额 | $3,929,915 |
| 购买 | 9,642 |
| 处置 | 1,835,929 |
| 外币兑换差额影响 | (3,117,348) |
| 期末余额 | $2,773,549 |

#### 3. 第2等级公允价值衡量之评价技术及输入值

| 金融工具类别 | 评价技术及输入值 |
|--------------|------------------|
| 衍生工具－远期外汇合约及换汇交易合约 | 现金流量折现法：按期末之可观察远期汇率及合约所订汇率估计未来现金流量，并以可反映各交易对方信用风险之折现率分别折现。 |
| 衍生工具－换汇换利合约 | 採用交易对手银行提供之评价资讯並以现金流量折现法评价，按期末可观察汇率暨合约所订汇率及利率估計未来现金流量，并以可反映各交易对方信用风险之折现率分别折现。 |
| 衍生工具－外匯選擇權合约 | 外匯選擇權合约公允价值係以評價日即期汇率、選擇權执行价格、汇率波动率、合约到期期间及由合约到期期间之报偿無风险利率推算。 |
| 結構型商品及結構式存款 | 係以评价技术或参考交易对手报偿取得。 |

#### 4. 第3等级公允价值衡量之评价技术及输入值

(1) 国内及国外未上市（柜）权益投资係採收益法，按现金流量折现之方式，计算预期可因持有此项投资而获取收益之现值。当长期收入成长率增加、长期税前营业利润率增加、加权资金成本率降低或流动性折价减少时，该等投资公允价值将增加。
