根据提供的图像，以下是提取的文本和表格信息：

### 文本内容
- 亚德克国际股份有限公司
- 民国111年9月30日
- 单位：新台币仟元
- 董事长：王世忠
- 经理人：王世忠
- 会计主管：曹永祥

### 表格数据
#### 资产负债表
| 项目 | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|------|--------------|---------------|--------------|
| 流动资产 | | | |
| 1100 现金及约当现金（附注六） | $ 4,258,508 | $ 4,374,302 | $ 4,614,489 |
| 1110 透过损益按公允价值衡量之金融资产－流动（附注七） | - | - | - |
| 1136 按摊销后成本衡量之金融资产－流动（附注八及三十） | 828,233 | 1,831,215 | 884,710 |
| 1150 应收票据（附注九） | 2,564,502 | 2,092,888 | 2,572,018 |
| 1170 应收帐款（附注九及二九） | 5,971,669 | 5,389,837 | 5,983,426 |
| 1200 其他应收款 | 21,745 | 22,976 | 25,360 |
| 1220 本期所得税资产（附注四） | 11,698 | 12,820 | 17,350 |
| 130X 存货（附注十） | 6,942,271 | 5,301,683 | 4,367,122 |
| 1470 其他流动资产（附注十四） | 295,053 | 271,628 | 273,948 |
| 11XX 流动资产总计 | 20,893,679 | 19,314,204 | 18,755,103 |
| 非流动资产 | | | |
| 1600 不动产、厂房及设备（附注十二及三十） | 28,408,708 | 24,466,511 | 23,553,371 |
| 1755 使用权资产（附注十三） | 1,016,799 | 1,010,259 | 1,019,318 |
| 1780 其他无形资产 | 44,580 | 51,519 | - |
| 1840 遗延所得税资产（附注四及二二） | 439,649 | 568,219 | 570,803 |
| 1990 其他非流动资产（附注十四） | 1,590,291 | 2,267,944 | 2,238,327 |
| 15XX 非流动资产总计 | 31,500,027 | 28,364,452 | 27,437,445 |
| 1XXX 资产总计 | $ 52,393,706 | $ 47,678,656 | $ 46,192,548 |
| 负债及权益 | | | |
| 流动负债 | | | |
| 2100 短期借款（附注十五） | $ 9,164,112 | $ 3,712,644 | $ 11,997,071 |
| 2110 应付短期票据（附注十五） | 300,000 | 780,000 | 1,150,000 |
| 2120 透过损益按公允价值衡量之金融负债－流动（附注七） | - | 981 | 443 |
| 2130 合约负债－流动（附注二十） | 62,489 | 68,712 | 57,823 |
| 2150 应付票据（附注十六） | 200,906 | 226,223 | 239,113 |
| 2170 应付帐款（附注十六） | 831,975 | 1,076,830 | 935,472 |
| 2280 租赁负债－流动（附注十三） | 68,880 | 60,825 | 63,583 |
| 2200 其他应付款（附注十七） | 2,351,333 | 1,731,823 | 1,577,332 |
| 2230 本期所得税负债（附注四） | 454,948 | 606,389 | 430,656 |
| 2320 一年内到期之长期借款（附注十五及三十） | - | 766,500 | 766,500 |
| 2399 其他流动负债（附注十七） | 224,300 | 188,513 | 162,656 |
| 21XX 流动负债总计 | 13,658,943 | 9,219,440 | 17,380,649 |
| 非流动负债 | | | |
| 2580 租赁负债－非流动（附注十三） | 136,313 | - | 159,620 |
| 2540 长期借款（附注十五及三十） | - | 2,805,726 | 2,804,703 |
| 2570 遗延所得税负债（附注四及二二） | 572,402 | 353,392 | 408,221 |
| 25XX 非流动负债总计 | 708,715 | 3,307,545 | 3,372,544 |
| 2XXX 负债总计 | 14,367,658 | 12,526,985 | 20,753,193 |
| 归属于本公司股东的权益（附注十九） | | | |
| 3110 普通股 | 2,000,000 | 2,000,000 | 1,890,250 |
| 3200 资本公积 | 14,846,145 | 14,846,145 | 7,082,549 |
| 3300 保留盈余 | 21,525,234 | 19,529,933 | 17,924,145 |
| 3400 其他权益 | (352,686) | (1) | (1,232,155) |
| 31XX 本公司股东的权益总计 | 38,018,693 | 35,143,923 | 25,431,497 |
| 36XX 非控制权益 | 7,355 | - | 7,858 |
| 3XXX 权益总计 | 38,026,048 | 35,151,671 | 25,439,3
