### (十) 不動產、廠房及設備

| 未完工程及合計 | 土地 | 房屋及建築 | 機器設備 | 雜項設備 | 待驗設備 | 合計 |
|----------------|------|------------|----------|----------|----------|------|
| 111年1月1日    | $ 7,664,449 | $ 12,006,580 | $ 8,072,577 | $ 5,020,723 | $ 574,991 | $ 33,339,320 |
| 累計折舊及減損 | - | (3,707,617) | (6,499,744) | (3,711,328) | - | (13,918,689) |
| 111年1月1日    | $ 7,664,449 | $ 8,298,963 | $ 1,572,833 | $ 1,309,395 | $ 574,991 | $ 19,420,631 |
| 取得           | - | 8,675 | 368,443 | 171,232 | 473,132 | 1,021,482 |
| 處分           | (218) | (7,450) | (435,424) | (5,930) | - | (449,022) |
| 折舊           | - | (255,210) | (439,588) | (362,617) | - | (1,057,415) |
| 減損           | - | - | (49) | (111) | - | (160) |
| 減損迴轉       | - | - | 432,880 | - | - | 432,880 |
| 重分類         | (29,151) | 12,637 | 22,538 | 32,709 | (168,617) | (129,884) |
| 合併個體影響數 | - | - | 68 | 212 | - | 280 |
| 匯率影響數     | 71,964 | 120,319 | 14,428 | 13,096 | 19,151 | 238,958 |
| 111年9月30日   | $ 7,707,044 | $ 8,177,934 | $ 1,536,129 | $ 1,157,986 | $ 898,657 | $ 19,477,750 |
| 111年9月30日   | $ 7,707,044 | $ 12,117,704 | $ 6,370,501 | $ 5,173,030 | $ 898,657 | $ 32,266,936 |
| 累計折舊及減損 | - | (3,939,770) | (4,834,372) | (4,015,044) | - | (12,789,186) |
| 111年9月30日   | $ 7,707,044 | $ 8,177,934 | $ 1,536,129 | $ 1,157,986 | $ 898,657 | $ 19,477,750 |
| 未完工程及合計 | 土地 | 房屋及建築 | 機器設備 | 雜項設備 | 待驗設備 | 合計 |
|----------------|------|------------|----------|----------|----------|------|
| 110年1月1日    | $ 7,421,590 | $ 11,753,068 | $ 8,645,857 | $ 4,868,516 | $ 465,606 | $ 33,154,637 |
| 累計折舊及減損 | - | (3,404,419) | (5,175,267) | (3,552,060) | - | (12,131,746) |
| 110年1月1日    | $ 7,421,590 | $ 8,348,649 | $ 3,470,590 | $ 1,316,456 | $ 465,606 | $ 21,022,891 |
| 取得           | 259,088 | 221,168 | 371,283 | 391,380 | 264,347 | 1,507,266 |
| 處分           | - | - | (3,926) | (13,823) | - | (17,749) |
| 折舊           | - | (249,088) | (1,741,069) | (355,505) | - | (2,345,662) |
| 減損           | - | - | (2,615) | (716) | - | (3,331) |
| 重分類         | - | (3,140) | 48,828 | 31,220 | (148,014) | (71,106) |
| 匯率影響數     | (12,337) | (50,763) | (32,265) | (17,045) | (6,529) | (118,939) |
| 110年9月30日   | $ 7,668,341 | $ 8,266,826 | $ 2,110,826 | $ 1,351,967 | $ 575,410 | $ 19,973,370 |
| 110年9月30日   | $ 7,668,341 | $ 11,871,551 | $ 8,874,228 | $ 5,006,151 | $ 575,410 | $ 33,995,681 |
| 累計折舊及減損 | - | (3,604,725) | (6,763,402) | (3,654,184) | - | (14,022,311) |
| 110年9月30日   | $ 7,668,341 | $ 8,266,826 | $ 2,110,826 | $ 1,351,967 | $ 575,410 | $ 19,973,370 |

### 1. 經評估及比較不動產、廠房及設備帳面價值及其可回收金額，本集團於民國111年及110年7至9月、民國111年及110年1至9月認列(迴轉)之減損損失分別為($127,188)、($491)、($432,720)及$3,331。

### 2. 以不動產、廠房及設備提供擔保之資訊，請詳附註八之說明。
