### 财务报告表格数据输出

#### 衍生金融资产

| 项目 | 111年9月30日 | 111年12月31日 |
|------|--------------|---------------|
| 加拿大元/美金 | CAD 66,215 | CAD 49,200 |
| 新台币/美金 | USD 678,000 | USD 190,000 |
| 欧元/美金 | EUR 352,500 | EUR 235,000 |
| 英镑/美金 | GBP 45,000 | GBP - |
| 人民币/美金 | CNH 3,600,513 | CNH 302,561 |
| 印尼盾/美金 | IDR 2,513,601,000 | IDR - |
| 印度卢比/美金 | INR 13,147,041 | INR - |
| 瑞典克朗/美金 | SEK 12,104 | SEK - |
| 波兰兹罗提/美金 | PLN 135,000 | PLN - |
| 澳元/美金 | AUD 14,500 | AUD - |
| 俄罗斯卢布/美金 | RUB - | RUB 1,663,418 |
| 日元/美金 | JPY 3,932,955 | JPY 2,112,908 |
| 墨西哥比索/美金 | MXN 487,700 | MXN - |
| 泰铢/美金 | THB 300,000 | THB - |
| 瑞士法郎/美金 | CHF 2,070 | CHF - |

#### 货币选择权合约

| 项目 | 111年9月30日 | 111年12月31日 |
|------|--------------|---------------|
| 人民币/美金 | CNH 3,391,048 | CNH 737,160 |
| 欧元/美金 | EUR 6,000 | EUR 44,000 |
| 俄罗斯卢布/美金 | RUB - | RUB 1,960,020 |
| 新台币/美金 | USD 30,000 | USD - |

#### 衍生金融负债

| 项目 | 111年9月30日 | 111年12月31日 |
|------|--------------|---------------|
| 新台币/美金 | USD - | USD 658,000 |
| 欧元/美金 | EUR 90,000 | EUR 175,000 |
| 英镑/美金 | GBP 23,000 | GBP 39,000 |
| 人民币/美金 | CNH 465,160 | CNH 140,917 |
| 印尼盾/美金 | IDR 198,783,000 | IDR 1,279,955,000 |
| 印度卢比/美金 | INR 4,438,842 | INR 10,218,217 |
| 瑞典克朗/美金 | SEK 19,043 | SEK 26,420 |
| 波兰兹罗提/美金 | PLN 20,000 | PLN 184,000 |
| 瑞士法郎/美金 | CHF 240 | CHF 650 |
| 澳元/美金 | AUD 2,000 | AUD 22,000 |
| 泰铢/美金 | THB - | THB 400,000 |
| 墨西哥比索/美金 | MXN 1,066,600 | MXN 50,000 |

#### 货币选择权合约

| 项目 | 111年9月30日 | 111年12月31日 |
|------|--------------|---------------|
| 人民币/美金 | CNH 570,518 | CNH 1,922,801 |
| 澳元/美金 | AUD - | AUD 36,000 |
