```markdown
|  | 商誉 | 特许权 | 专利权 | 商标权 | 已发展技术 | 客户关系 | 电脑软件成本 | 合计 |
|---|---|---|---|---|---|---|---|---|
| 1月1日 | $18,469,923 | $14,581,255 | $4,301,379 | $9,009,831 | $10,192,291 | $1,610,976 | $8,174,975 | $66,340,630 |
| 累计摊销及减损 | (2,283,863) | (5,644,316) | (3,147,637) | (935,407) | (2,548,261) | (499,868) | (5,928,441) | (20,987,793) |
|---|---|---|---|---|---|---|---|---|
| 1月1日 | $16,186,060 | $8,936,939 | $1,153,742 | $8,074,424 | $7,644,030 | $1,111,108 | $2,246,534 | $45,352,837 |
| 1月1日 | $16,186,060 | $8,936,939 | $1,153,742 | $8,074,424 | $7,644,030 | $1,111,108 | $2,246,534 | $45,352,837 |
| 新增 | - | - | 1,657 | - | - | - | 890,682 | 892,339 |
| 企业合并取得 | 1,407,081 | - | 96,681 | - | 401,125 | - | 2,961 | 1,907,848 |
| 处分 | - | (1,298,457) | (443) | - | - | - | - | (1,298,900) |
| 摊销费用 | - | (570,687) | (227,458) | (380,174) | (898,195) | (121,847) | (662,751) | (2,861,112) |
| 交换 | - | (299,630) | - | - | - | - | - | (299,630) |
| 损益 | 1,941,994 | - | 133,346 | 834,650 | 308,045 | (100,679) | 118,393 | 3,235,749 |
| 9月30日 | $19,535,135 | $6,768,165 | $1,157,525 | $8,528,900 | $7,455,005 | $888,582 | $2,595,819 | $46,929,131 |
| 9月30日 | $22,154,811 | $11,911,625 | $4,998,326 | $9,810,330 | $11,423,389 | $1,566,386 | $9,057,460 | $70,922,327 |
| 累计摊销及减损 | (2,619,676) | (5,143,460) | (3,840,801) | (1,281,430) | (3,968,384) | (677,804) | (6,461,641) | (23,993,196) |
|---|---|---|---|---|---|---|---|---|
| 9月30日 | $19,535,135 | $6,768,165 | $1,157,525 | $8,528,900 | $7,455,005 | $888,582 | $2,595,819 | $46,929,131 |
```
