```markdown
| 投資公司名稱 | 子公司名稱 | 業務性質 | 111年 | 110年 | 110年 | 說明 |
| --- | --- | --- | --- | --- | --- | --- |
| China Steel and Nippon Steel Vietnam Joint Stock Company (CSVC) |  | 鋼品製造 | 56 | 56 | 56 |  |
| CSCI Steel Corporation India Pvt. Ltd. (CSCI)(原名 China Steel Corporation India Pvt. Ltd.) |  | 電磁鋼捲 | 100 | 100 | 100 | 111年2月更名完成 |
| 高雄捷運股份有限公司 (高捷) |  | 大眾捷運系統運輸業 | 43 | 43 | 43 | 直接及間接持股合計為51% |
| 中能資源股份有限公司 (中能資源) |  | 其他非金屬礦物製品製造業 | 100 | 100 | 100 |  |
| 中鋼精密金屬工業股份有限公司 (中鋼精工) |  | 其他非鐵金屬基本工業 | - | - | 100 | 110年10月與中鋼合併後消滅 |
| 中鋼光能股份有限公司 (中鋼光能) |  | 太陽能發電 | 55 | 55 | 55 | 直接及間接持股合計為100% |
| 興達海洋基礎股份有限公司 (興達海基) |  | 離岸風電水下基礎 | 47 | 100 | 100 | 直接及間接持股合計為62%，111年1月未依持股比例現增 |
| United Steel International Co., Ltd. (USICL) |  | 投資控股 | 80 | 80 | 80 | 直接及間接持股合計為100% |
| 中發控股股份有限公司 (中發控股) |  | 一般投資 | 51 | 51 | 51 |  |
| 中盈投資開發股份有限公司 |  | 一般投資 | 100 | 100 | 100 |  |
| 鎮泰電子陶瓷股份有限公司 (鎮泰) |  | 電子陶瓷之製造及買賣 | 48 | 48 | 48 | 直接及間接持股合計為52% |
| 鑫科材料科技股份有限公司 (鑫科) |  | 金屬靶材製造與銷售 | 32 | 32 | 32 | 直接及間接持股合計為40%，詳下述(1)之說明 |
| Gainsplus Asset Management Inc. (GAINSPLUS) |  | 一般投資 | - | - | - | 110年3月清算完成 |
| 網際優勢股份有限公司 (網優) |  | 資訊軟體批發、資訊軟體服務、電子資訊供應服務 | 64 | 64 | 64 | 直接及間接持股合計為99% |
| 智揚管理顧問股份有限公司 (智揚) |  | 管理顧問業 | 100 | 100 | 100 |  |
| 運盈投資股份有限公司 (運盈) |  | 一般投資 | 49 | 49 | 49 | 直接及間接持股合計為58% |
| 鑫尚揚投資股份有限公司 (鑫尚揚) |  | 一般投資 | 5 | 5 | 5 | 直接及間接持股合計為61%，於110年1月公司成立 |
```
- 16 -
