```markdown
# 資產負債表

| 代碼 | 金額 | 代碼 | 金額 |
|------|------|------|------|
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | C7   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | A1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,350,867 | B5   | - |
| A1   | 2,350,867 | O1   | - |
| A1   | 2,350,867 | M5   | - |
| D1   | 2,350,867 | D1   | - |
| D1   | 2,350,867 | Z1   | - |
| A1   | 2,
