```markdown
# 十九、借 款

## (一) 短期 借 款

|  | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|---|---|---|---|
| 擔保借款（附註三三） | | | |
| －銀行借款 | $ | - | $ 1,103,967 | $ 1,639,460 |
| 無擔保借款 | | | |
| －信用額度借款 | 11,028,704 | 11,388,671 | 16,681,352 |
| | $ 11,028,704 | $ 12,492,638 | $ 18,320,812 |

銀行週轉性借款之利率於112年3月31日暨111年12月31日及3月31日分別為0.58%～5.35%、0.58%～4.96%及-0.50%～3.05%。

## (二) 應付短期票券

|  | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|---|---|---|---|
| 應付商業本票 | $35,480,000 | $28,150,000 | $20,100,000 |
| 減：應付短期票券折價 | (94,381) | (74,033) | (24,884) |
| | $35,385,619 | $28,075,967 | $20,075,116 |

尚未到期之應付短期票券如下：

### 112年3月31日

|  | 保証／承兌機構 | 票 面 金 額 | 折 價 金 額 | 帳 面 金 額 | 利 率 區 間 | 擔保品名稱 | 擔 保 品 | 帳 面 金 額 |
|---|---|---|---|---|---|---|---|---|
| 應付商業本票 | 國際票券 | $ 9,080,000 | $ 17,266 | $ 9,062,734 | 1.488~1.618% | － | $ | － |
| | 中信票券 | 8,300,000 | 19,406 | 8,280,594 | 1.478~1.618% | － | － | － |
| | 大慶票券 | 4,100,000 | 7,321 | 4,092,679 | 1.488~1.628% | － | － | － |
| | 元大票券 | 3,500,000 | 22,641 | 3,477,359 | 1.508~1.568% | － | － | － |
| | 萬通票券 | 3,000,000 | 7,032 | 2,992,968 | 1.488~1.528% | － | － | － |
| | 永豐票券 | 2,500,000 | 10,193 | 2,489,807 | 1.488~1.648% | － | － | － |
| | 中華票券 | 2,300,000 | 5,146 | 2,294,854 | 1.488~1.628% | － | － | － |
| | 兆豐票券 | 1,600,000 | 3,188 | 1,596,812 | 1.488% | － | － | － |
| | 台灣票券 | 1,000,000 | 2,079 | 997,921 | 1.488% | － | － | － |
| | 兆豐票券 | 100,000 | 109 | 99,891 | 1.988% | － | － | － |
| | | $ 35,480,000 | $ 94,381 | $ 35,385,619 | | | | $ |

### 111年12月31日

|  | 保証／承兌機構 | 票 面 金 額 | 折 價 金 額 | 帳 面 金 額 | 利 率 區 間 | 擔保品名稱 | 擔 保 品 | 帳 面 金 額 |
|---|---|---|---|---|---|---|---|---|
| 應付商業本票 | 國際票券 | $ 8,750,000 | $ 17,497 | $ 8,732,503 | 1.598~1.698% | － | $ | － |
| | 中信票券 | 7,450,000 | 14,190 | 7,435,810 | 1.598~1.708% | － | － | － |
| | 元大票券 | 3,950,000 | 16,111 | 3,933,889 | 1.688% | － | － | － |
| | 萬通票券 | 3,000,000 | 8,009 | 2,991,991 | 1.598~1.698% | － | － | － |
| | 永豐票券 | 2,900,000 | 10,406 | 2,889,594 | 1.458~1.698% | － | － | － |
| | 中華票券 | 1,900,000 | 7,741 | 1,892,259 | 1.678~1.698% | － | － | － |
| | 大慶票券 | 200,000 | 79 | 199,921 | 1.598% | － | － | － |
| | | $ 28,150,000 | $ 74,033 | $ 28,075,967 | | | | $ |
```
