```markdown
|  | 商誉 | 特許權 | 專利權 | 商標權 | 已發展技術 | 客戶關係 | 電腦軟體成本 | 合計 |
|---|---|---|---|---|---|---|---|---|
| 1月1日 | | | | | | | | |
| 成本 | $17,266,764 | $14,581,255 | $4,323,547 | $9,447,950 | $10,386,924 | $1,657,536 | $- | $57,663,976 |
| 累計攤銷及減損 | (2,349,869) | (4,719,570) | (2,945,509) | (519,023) | (2,012,836) | (357,086) | (12,903,893) | (12,903,893) |
| | $14,916,895 | $9,861,685 | $1,378,038 | $8,928,927 | $8,374,088 | $1,300,450 | $- | $44,760,083 |
| 1月1日 | $14,916,895 | $9,861,685 | $1,378,038 | $8,928,927 | $8,374,088 | $1,300,450 | $- | $44,760,083 |
| 轉入 | - | - | - | - | - | - | 2,369,522 | 2,369,522 |
| 新增 | - | - | 2,993 | - | - | - | 194,379 | 197,372 |
| 處分 | - | - | - | - | - | - | (25,173) | (25,173) |
| 攤銷費用 | - | (231,185) | (59,909) | (58,540) | (153,922) | (39,115) | (382,232) | (924,903) |
| 淨兌換差額 | (8,983) | - | 2,217 | 13,619 | 3,320 | 2,505 | (13,900) | (1,222) |
| 3月31日 | $14,907,912 | $9,630,500 | $1,323,339 | $8,884,006 | $8,223,486 | $1,263,840 | $2,142,596 | $46,375,679 |
| 3月31日 | | | | | | | | |
| 成本 | $17,262,732 | $14,581,255 | $4,335,105 | $9,462,941 | $10,395,408 | $1,661,028 | $7,612,434 | $65,310,903 |
| 累計攤銷及減損 | (2,354,820) | (4,950,755) | (3,011,766) | (578,935) | (2,171,922) | (397,188) | (5,469,838) | (18,935,224) |
| | $14,907,912 | $9,630,500 | $1,323,339 | $8,884,006 | $8,223,486 | $1,263,840 | $2,142,596 | $46,375,679 |
| 上開企業合併取得無形資產請詳附註六(四十)之說明 | | | | | | | | |
```
