```markdown
# 台灣化學纖維股份有限公司及子公司

## 合併綜合損益表

### 民國112年及111年1月1日至3月31日

(僅經核閱，未依審計準則查核)

### 單位：新台幣仟元

(除每股(虧損)盈餘為新台幣元外)

| 項目 | 附註 | 112年1月至3月31日 | 111年1月至3月31日 |
|------|------|------------------|------------------|
| 4000 營業收入 | 六(十九)及七 | $83,028,826 | $95,399,038 |
| 5000 營業成本 | 六(六)(十四) | (81,621,310) | (86,211,844) |
| 5900 營業毛利 | (二十五)及七 | 1,407,516 | 9,187,194 |
| 營業費用 | 六(十四) | (2,226,328) | (3,384,695) |
| 6100 推銷費用 | (二十五)及七 | (1,486,132) | (1,474,317) |
| 6200 管理費用 | (二十五)及七 | (3,712,460) | (4,859,012) |
| 6900 營業(損失)利益 | (二十五)及七 | (2,304,944) | 4,328,182 |
| 營業外收入及支出 | | | |
| 7100 利息收入 | 六(二十) | 212,935 | 112,023 |
| 7010 其他收入 | 六(二十一)及七 | 256,001 | 246,698 |
| 7020 其他利益及損失 | 六(二十二) | 17,756 | 968,504 |
| 7050 財務成本 | 六(八)(二十三) | (715,339) | (262,387) |
| 7060 採用權益法認列之關聯企業及六(七) | | | |
| 合資損益之份額 | | 1,399,760 | 2,776,074 |
| 營業外收入及支出合計 | | 1,171,113 | 3,840,912 |
| 7900 稅前(淨損)淨利 | | (1,133,831) | 8,169,094 |
| 7950 所得稅費用 | 六(二十六) | (31,824) | (1,196,880) |
| 8200 本期(淨損)淨利 | | ($1,165,655) | $6,972,214 |

(續次頁)
```
