```markdown
|  | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|---|---|---|---|---|
| 8370 | 448,601 | 303,970 | 787,206 | 465,933 |
| 8399 | (66,523) | 52,346 | (140,270) | (1,124) |
| 8300 | 1,736,564 | 1 | 2,125,371 | 2 |
| 8500 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8610 | 1,938,596 | 2 | 19,757,287 | 16 |
| 8620 | (686,480) | (1) | 1,463,020 | 1 |
| 8600 | 1,252,116 | 1 | 21,220,307 | 17 |
| 8710 | 2,631,590 | 2 | 21,980,274 | 19 |
| 8720 | 357,090 | - | 1,365,404 | - |
| 8700 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8500 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8600 | 1,252,116 | 1 | 21,220,307 | 17 |
| 8710 | 2,631,590 | 2 | 21,980,274 | 19 |
| 8720 | 357,090 | - | 1,365,404 | - |
| 8700 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8500 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8600 | 1,252,116 | 1 | 21,220,307 | 17 |
| 8710 | 2,631,590 | 2 | 21,980,274 | 19 |
| 8720 | 357,090 | - | 1,365,404 | - |
| 8700 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8500 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8600 | 1,252,116 | 1 | 21,220,307 | 17 |
| 8710 | 2,631,590 | 2 | 21,980,274 | 19 |
| 8720 | 357,090 | - | 1,365,404 | - |
| 8700 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8500 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8600 | 1,252,116 | 1 | 21,220,307 | 17 |
| 8710 | 2,631,590 | 2 | 21,980,274 | 19 |
| 8720 | 357,090 | - | 1,365,404 | - |
| 8700 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8500 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8600 | 1,252,116 | 1 | 21,220,307 | 17 |
| 8710 | 2,631,590 | 2 | 21,980,274 | 19 |
| 8720 | 357,090 | - | 1,365,404 | - |
| 8700 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8500 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8600 | 1,252,116 | 1 | 21,220,307 | 17 |
| 8710 | 2,631,590 | 2 | 21,980,274 | 19 |
| 8720 | 357,090 | - | 1,365,404 | - |
| 8700 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8500 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8600 | 1,252,116 | 1 | 21,220,307 | 17 |
| 8710 | 2,631,590 | 2 | 21,980,274 | 19 |
| 8720 | 357,090 | - | 1,365,404 | - |
| 8700 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8500 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8600 | 1,252,116 | 1 | 21,220,307 | 17 |
| 8710 | 2,631,590 | 2 | 21,980,274 | 19 |
| 8720 | 357,090 | - | 1,365,404 | - |
| 8700 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8500 | 2,988,680 | 2 | 23,345,678 | 19 |
| 8600 | 1,252,116 | 1 | 21,220,307 | 17 |
| 8710 | 2,631,590 | 2 | 21,980,274 | 19 |
| 8720 | 357,090 | - | 1,365,404 | - |
| 8700 | 2,988,680 | 2 | 23,3
