```markdown
# 中華電信公司發行之國內無擔保普通公司債主要條件如下：

| 期 | 別 | 券 | 別 | 發行期 | 間 | 發行總額 | 票面利率 | 還本付息方式 |
|---|---|---|---|---|---|---|---|---|
| 109年度第1次 | 甲類 | 109年7月至114年7月 | $8,800,000 | 0.50% | 到期一次還本，每年付息一次 |
| | 乙類 | 109年7月至116年7月 | 7,500,000 | 0.54% | 同上 |
| | 丙類 | 109年7月至119年7月 | 3,700,000 | 0.59% | 同上 |
| 110年度第1次 | 甲類 | 110年4月至115年4月 | 1,900,000 | 0.42% | 同上 |
| | 乙類 | 110年4月至117年4月 | 4,100,000 | 0.46% | 同上 |
| | 丙類 | 110年4月至120年4月 | 1,000,000 | 0.50% | 同上 |
| 111年度第1次 | - | 111年3月至116年3月 | 3,500,000 | 0.69% | 同上 |
| (可持續發展債券) |

## 二四、應付票據及帳款

|  | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|---|---|---|---|
| 應付票據及帳款 | $13,177,439 | $16,428,856 | $13,160,237 |

應付票據及帳款主要係因營業而發生，交易條件係分別議定。

## 二五、其他應付款

|  | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|---|---|---|---|
| 應付薪資及獎金 | $8,008,614 | $10,409,299 | $8,112,367 |
| 應付員工及董監酬勞 | 1,749,740 | 2,143,523 | 1,800,357 |
| 應付代收款 | 1,588,921 | 1,596,341 | 1,593,842 |
| 應付工程款 | 1,402,876 | 2,571,376 | 1,772,059 |
| 應付購置設備款 | 1,127,154 | 1,278,738 | 879,479 |
| 應付機線維護費 | 1,064,133 | 1,060,534 | 965,129 |
| 其他 | 6,208,959 | 6,020,149 | 5,772,519 |
| | $21,150,397 | $25,079,960 | $20,895,752 |

## 二六、負債準備

|  | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|---|---|---|---|
| 員工福利 | $381,034 | $64,776 | $67,414 |
| 保固 | 229,339 | 235,308 | 216,743 |
| 虧損性合約 | 191,531 | 95,201 | 95,199 |
| 其他 | 3,067 | 3,767 | 3,767 |
| | $804,971 | $399,052 | $383,123 |

|  | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|---|---|---|---|
| 流動 | $324,368 | $226,019 | $225,903 |
| 非流動 | 480,603 | 173,033 | 157,220 |
| | $804,971 | $399,052 | $383,123 |
```
