```markdown
| 和運租車股份有限公司 | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
| --- | --- | --- |
| 收入 | $5,746,907 | $5,037,654 |
| 稅前淨利 | $385,455 | $340,124 |
| 所得稅費用 | (88,128) | (75,787) |
| 本期淨利 | 297,327 | 264,337 |
| 其他綜合損益(稅後淨額) | 89,335 | 9,748 |
| 本期綜合損益總額 | $386,662 | $274,085 |
| 綜合損益總額歸屬於非控制權益 | $131,302 | $93,074 |

| 和運租車股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 收入 | $16,777,863 | $14,605,824 |
| 稅前淨利 | 1,094,751 | 1,066,981 |
| 所得稅費用 | (228,016) | (251,510) |
| 本期淨利 | 866,735 | 815,471 |
| 其他綜合損益(稅後淨額) | 20,344 | 46,937 |
| 本期綜合損益總額 | $887,079 | $862,408 |
| 綜合損益總額歸屬於非控制權益 | $301,234 | $292,857 |
| 支付予非控制權益股利 | $215,005 | $202,106 |

| 現金流量表 | 和潤企業股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- | --- |
| 營業活動之淨現金流出 | ($35,791,643) | ($30,134,014) |
| 投資活動之淨現金流出 | (3,886,371) | (1,877,506) |
| 筹資活動之淨現金流入 | 42,742,271 | 32,945,069 |
| 匯率影響數 | 22,876 | 192,943 |
| 本期現金及約當現金增加數 | 3,087,133 | 1,126,492 |
| 期初現金及約當現金餘額 | 2,382,775 | 1,058,573 |
| 期末現金及約當現金餘額 | $5,469,908 | $2,185,065 |

| 和運租車股份有限公司 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- |
| 營業活動之淨現金流入 | $12,660,740 | $11,748,861 |
| 投資活動之淨現金流出 | (15,089,660) | (13,376,545) |
| 筹資活動之淨現金流入 | 2,516,869 | 1,768,389 |
| 本期現金及約當現金增加數 | 87,949 | 140,705 |
| 期初現金及約當現金餘額 | 120,151 | 109,655 |
| 期末現金及約當現金餘額 | $208,100 | $250,360 |
```
