```markdown
| 投資公司名稱 | 子 公 司 名 稱 | 業 務 性 質 | 所持股權百分比或出資比例 | 備 註 |
| --- | --- | --- | --- | --- |
| 和通汽車投資有限公司 | 天津和凌雷克薩斯汽車銷售服務有限公司 | 汽車銷售維修服務 | 100.00 |  |
| 和通汽車投資有限公司 | 天津和展汽車服務有限公司 | 汽車銷售維修服務 | 100.00 |  |
| 和通汽車投資有限公司 | 上海和裕豐田汽車服務有限公司 | 汽車銷售維修服務 | 100.00 |  |
| 和通汽車投資有限公司 | 上海和凌汽車服務有限公司 | 汽車銷售維修服務 | 75.00 |  |
| 和通汽車投資有限公司 | 上海和展汽車服務有限公司 | 汽車銷售維修服務 | 100.00 |  |
| 和通汽車投資有限公司 | 重慶和凌雷克薩斯汽車銷售服務有限公司 | 汽車銷售維修服務 | 100.00 |  |
| 和通汽車投資有限公司 | 唐山和凌雷克薩斯汽車銷售服務有限公司 | 汽車銷售維修服務 | 100.00 |  |
| 和通汽車投資有限公司 | 南昌和凌雷克薩斯汽車銷售服務有限公司 | 汽車銷售維修服務 | 100.00 |  |
| 和通汽車投資有限公司 | 棗莊和裕豐田汽車銷售服務有限公司 | 汽車銷售維修服務 | 100.00 |  |
| 和通汽車投資有限公司 | 上海和冕汽車科技有限公司 | 車輛用品買賣及物業管理 | 100.00 |  |
| 和通汽車投資有限公司 | 上海和昕汽車服務諮詢有限公司 | 諮詢服務 | 100.00 |  |
| 和通汽車投資有限公司 | 上海和晨汽車科技有限公司 | 車輛用品買賣及物業管理 | 100.00 |  |
| 和通汽車投資有限公司 | 上海嘉定和凌雷克薩斯汽車服務有限公司 | 汽車銷售維修服務 | 100.00 |  |
| 和通汽車投資有限公司 | 南京和展汽車銷售服務有限公司 | 汽車銷售維修服務 | 70.00 |  |
| 和通汽車投資有限公司 | 上海豐藝建築裝璜有限公司 | 物業管理 | 70.00 |  |
| 和通汽車投資有限公司 | 上海眾信交通設施工程有限公司 | 物業管理 | 100.00 |  |
| 和通汽車投資有限公司 | 青島和凌雷克薩斯汽車銷售服務有限公司 | 汽車銷售維修服務 | 70.00 | - | 註13 |
| 棗莊和裕豐田汽車銷售服務有限公司 | 棗莊和萬汽車銷售服務有限公司 | 汽車銷售維修服務 | 100.00 |  |
| 上海和裕豐田汽車服務有限公司 | 上海和凌汽車服務有限公司 | 汽車銷售維修服務 | 25.00 | 註1 |
| 上海和裕豐田汽車服務有限公司 | 上海和德二手車經營有限公司 | 中古車買賣 | 23.81 | 註1.5 |
| 上海和裕豐田汽車服務有限公司 | 上海廣心文化傳媒有限公司 | 各類廣告設計、製作等服務 | 100.00 |  |
| 上海和凌汽車服務有限公司 | 上海和德二手車經營有限公司 | 中古車買賣 | 23.81 | 註1.5 |
| 上海和凌汽車服務有限公司 | 上海楊浦和凌雷克薩斯汽車銷售服務有限公司 | 汽車銷售維修服務 | 100.00 |  |
| 上海和凌汽車服務有限公司 | 天津和億國際貿易有限公司 | 進口車輛銷售 | 100.00 |  |
| 上海和凌汽車服務有限公司 | 上海和康設備租賃有限公司 | 租賃業務 | 40.00 | 註1.10 |
| 上海和展汽車服務有限公司 | 上海和德二手車經營有限公司 | 中古車買賣 | 23.81 | 註1.5 |
| 重慶和凌雷克薩斯汽車銷售服務有限公司 | 上海和康設備租賃有限公司 | 租賃業務 | 30.00 | 註1.10 |
```
