```markdown
# 110年1月1日
|  | 土地 | 房屋及建築 | 機器設備 | 試驗設備 | 其他 | 及待驗設備 | 合計 |
|---|---|---|---|---|---|---|---|
| 成本 | $14,267,858 | $44,204,419 | $46,515,093 | $18,755,289 | $19,836,201 | $10,592,148 | $154,171,008 |
| 累計折舊及減損 | (11,704) | (21,744,675) | (33,043,800) | (14,919,634) | (16,009,220) | - | (85,729,033) |
|---|---|---|---|---|---|---|---|
|  | $14,256,154 | $22,459,744 | $13,471,293 | $3,835,655 | $3,826,981 | $10,592,148 | $68,441,975 |

# 110年
|  | 期初餘額 | 增添 | 合併個體減少影響數 | 處分 | 移轉 | 折舊費用 | 減損損失 | 匯率影響數 | 期末餘額 |
|---|---|---|---|---|---|---|---|---|---|
|  | $14,256,154 | $22,459,744 | $13,471,293 | $3,835,655 | $3,826,981 | $10,592,148 | $68,441,975 | - | - |
|  |  | 809,948 | 1,006,301 | 6,636,167 | 1,437,199 | 2,005,472 | 6,224,212 | 18,119,299 | - |
|  |  | - | - | - | (378) | (2,830) | - | (3,208) | - |
|  |  | (203) | (4,967) | (315,167) | (38,641) | (41,213) | - | (400,191) | - |
|  |  | - | 3,264,074 | 1,395,664 | 306,810 | 210,729 | (5,177,277) | - | - |
|  |  | - | (1,401,352) | (4,705,590) | (1,644,898) | (1,752,678) | - | (9,504,518) | - |
|  |  | - | - | - | - | (11,407) | - | (11,407) | - |
|  |  | (130,666) | (314,856) | (370,236) | (53,729) | (169,969) | (208,853) | (1,248,309) | - |
|  |  | $14,935,233 | $25,008,944 | $16,112,131 | $3,842,018 | $4,065,085 | $11,430,230 | $75,393,641 | - |

# 110年9月30日
|  | 成本 | 累計折舊及減損 |  |  |  |  |  |  |  |
|---|---|---|---|---|---|---|---|---|---|
|  | $14,945,986 | $47,889,238 | $50,437,932 | $19,334,256 | $20,844,684 | $11,430,230 | $164,882,326 | - | - |
|  | (10,753) | (22,880,294) | (34,325,801) | (15,492,238) | (16,779,599) | - | (89,488,685) | - | - |
|  | $14,935,233 | $25,008,944 | $16,112,131 | $3,842,018 | $4,065,085 | $11,430,230 | $75,393,641 | - | - |

# 1. 本集團所持有之不動產、廠房及設備主要供自用。
# 2. 不動產、廠房及設備無利息資本化之情形。
# 3. 以不動產、廠房及設備提供擔保之資訊，請詳附註八之說明。
```
