```markdown
# 應付公司債之公允價值以第二等級輸入值衡量。該評價係以第三方機構提供之公開市場報價作為衡量。

## 2. 以重複性基礎按公允價值衡量之金融工具

### 111年3月31日

| 級別 | 第一級 | 第二級 | 第三級 | 合計 |
| --- | --- | --- | --- | --- |
| 透過損益按公允價值衡量之金融資產 |  |  |  |  |
| 衍生工具 | $ - | $ 2,738 | $ - | $ 2,738 |
| 上市（櫃）股票 | 452 | - | - | 452 |
| 未上市（櫃）股票 | - | - | 783,493 | 783,493 |
| 有限合夥 | - | - | 22,451 | 22,451 |
| 合計 | $ 452 | $ 2,738 | $ 805,944 | $ 809,134 |
|  |  |  |  |  |
| 避險之金融資產 |  |  |  |  |
|  | $ - | $ 8,055 | $ - | $ 8,055 |
|  |  |  |  |  |
| 透過其他綜合損益按公允價值衡量之金融資產 |  |  |  |  |
| 上市及興櫃股票 | $ 366,443 | $ - | $ - | $ 366,443 |
| 未上市（櫃）股票 | - | - | 3,207,841 | 3,207,841 |
| 合計 | $ 366,443 | $ - | $ 3,207,841 | $ 3,574,284 |

### 110年12月31日

| 級別 | 第一級 | 第二級 | 第三級 | 合計 |
| --- | --- | --- | --- | --- |
| 透過損益按公允價值衡量之金融資產 |  |  |  |  |
| 上市（櫃）股票 | $ 2,566 | $ - | $ - | $ 2,566 |
| 未上市（櫃）股票 | - | - | 884,670 | 884,670 |
| 有限合夥 | - | - | 24,105 | 24,105 |
| 合計 | $ 2,566 | $ - | $ 908,775 | $ 911,341 |
|  |  |  |  |  |
| 透過其他綜合損益按公允價值衡量之金融資產 |  |  |  |  |
| 上市及興櫃股票 | $ 458,582 | $ - | $ - | $ 458,582 |
| 未上市（櫃）股票 | - | - | 3,157,306 | 3,157,306 |
| 合計 | $ 458,582 | $ - | $ 3,157,306 | $ 3,615,888 |
|  |  |  |  |  |
| 透過損益按公允價值衡量之金融負債 |  |  |  |  |
| 衍生工具 | $ - | $ 6,180 | $ - | $ 6,180 |
| 避險之金融負債 | $ - | $ 8,286 | $ - | $ 8,286 |

- 61 -
```
