```markdown
| 投资公司名称 | 子公司名称 | 持股比例 | 业务性质 | 说明 |
| --- | --- | --- | --- | --- |
| 本 公 司 | 和平工业区专用港实业股份有限公司（和平港公司） | 100.0 | 和平工业区专用港之经营管理 | (12) |
| 本 公 司 | TCC International Ltd. (TCCI) | 100.0 | 投资控股 | (12) |
| 本 公 司 | 和平电力股份有限公司（和平电力公司） | 59.5 | 火力发电 | (12) |
| 本 公 司 | 英属维京群岛商和平企业经营管理顾问股份有限公司（和平营管公司） | 60.0 | 企业顾问辅导 | (12) |
| 本 公 司 | 萬青水泥股份有限公司（萬青水泥公司） | 50.6 | 水泥买卖 | (12) |
| 本 公 司 | 鳳勝實業股份有限公司（鳳勝實業公司） | 45.4 | 预拌混凝土买卖 | (3) |
| 本 公 司 | Trans Philippines Mineral Corp. (TPMC) | 40.0 | 探 矿 | (3) |
| 本 公 司 | Taicorn Minerals Corp. (TMC) | 72.7 | 探 矿 | (12) |
| 本 公 司 | 達榮環保股份有限公司（達榮環保公司） | 66.6 | 廢棄物之清除及處理 | (12) |
| 本 公 司 | 合盛礦業股份有限公司（合盛礦業公司） | 100.0 | 開採及買賣礦石 | (12) |
| 本 公 司 | TCC International Holdings Ltd. (TCCIH) | 45.5 | 投资控股 | (1) (12) |
| 本 公 司 | Taiwan Cement (Dutch) Holdings B.V. (TCC Dutch) | 100.0 | 投资控股 | (12) |
| 本 公 司 | 台泥永续能源投资股份有限公司 | 100.0 | 投资控股 | (12) |
| 本 公 司 | 台泥储能科技股份有限公司（台泥储能公司） | 100.0 | 储能設備製造、生產及銷售相關業務 | (12) |
| 本 公 司 | 妥善循環科技股份有限公司 | 100.0 | 廢棄物之清除及處理 | (12) |
| 本 公 司 | 台泥循環能源科技股份有限公司（台泥循環能源公司） | 36.6 | 投资控股 | (1) (2) (12) |
| 台湾通运公司 | 萬青水泥公司 | 49.4 | 水泥买卖 | (12) |
| 台湾通运公司 | 達和航運公司 | 29.2 | 航運承攬 | (12) |
| 台湾通运公司 | 台捷通運股份有限公司（台捷通運公司） | 100.0 | 航運 | (12) |
| 信昌投资公司 | 聯誠貿易股份有限公司（聯誠貿易公司） | 100.0 | 進出口貿易 | (12) |
| 信昌投资公司 | 和平電力公司 | 0.5 | 火力發電 | (12) |
| 信昌投资公司 | 達和航運公司 | - | 航運承攬 | - (12) |
| 信昌投资公司 | 台泥循環能源公司 | 1.1 | 投资控股 | (2) (12) |
| HKCMCL | TCC Development Ltd. | 100.0 | 物業收租 | (1) (12) |
| 達和航運公司 | Ta-Ho Maritime Holdings Ltd. | 100.0 | 一般投資 | (12) |
| 台泥資訊公司 | 台訊（薩摩亞）有限公司 | 100.0 | 一般投資 | (12) |
| 和平港公司 | 台泥循環能源公司 | 0.4 | 投资控股 | (2) (12) |
| TCCI | TCCIH | 54.5 | 投资控股 | (1) (12) |
| TPMC | TMC | 18.2 | 探 矿 | (12) |
| 聯誠貿易公司 | 台泥通運公司 | 0.7 | 倉儲運輸及砂石買賣 | (1) (12) |
| 聯誠貿易公司 | 台泥循環能源公司 | 1.1 | 投资控股 | (2) (12) |
| 和平電力公司 | 和平再生能源股份有限公司 | 100.0 | 再生能源發電 | (12) |
| 台泥綠能公司 | 彰旺風力發電股份有限公司 | 100.0 | 再生能源發電 | (12) |
| 台泥綠能公司 | 台泥南沖綠能股份有限公司 | 100.0 | 再生能源發電 | (12) |
| 台泥綠能公司 | 台泥高誠綠能股份有限公司 | 100.0 | 再生能源發電 | (12) |
| 台泥綠能公司 | 台泥彰和綠能股份有限公司 | 100.0 | 再生能源發電 | (12) |
| 台泥綠能公司 | 台泥嘉謙綠能股份有限公司 | 100.0 | 再生能源發電 | (12) |
| 台泥綠能公司 | 台泥雲間綠能股份有限公司 | 100.0 | 再生能源發電 | (12) |
| 台泥綠能公司 | 台泥蓮信綠能股份有限公司 | 100.0 | 再生能源發電 | (12) |
| 台泥綠能公司 | 台泥屏致綠能股份有限公司 | 100.0 | 再生能源發電 | (12) |
| 台泥綠能公司 | 嘉和綠能股份有限公司（嘉和綠能公司） | 85.0 | 再生能源發電 | (6) |
| 台泥綠能公司 | 台泥東立綠能股份有限公司 | 100.0 | 再生能源發電 | (12) |
| 台泥儲能公司 | 能元超商股份有限公司 | 100.0 | 再生能源售電及能源技術服務 | (4) |
```
