```markdown
| 投資公司 | 子公司名稱 | 業務性質 | 111年9月30日 | 110年12月31日 | 110年9月30日 | 說明 |
| --- | --- | --- | --- | --- | --- | --- |
| AIL集團 | ASUS ISRAEL TECHNOLOGY LTD. (ACIL) | 以色列地區3C資訊產品之支援 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | 華碩電腦(重慶)有限公司(華碩重慶) | 中國地區3C資訊產品之銷售 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUS PERU S. A. C. (ACPE) | 祕魯地區3C資訊產品之支援 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | PT. ASUS SERVICE INDONESIA (ASID) | 亞太及美洲地區3C資訊產品之維修 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUS HOLDING MEXICO, S. A. DE C. V. (ACMH) | 墨西哥地區3C資訊產品之銷售 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUS MEXICO, S. A. DE C. V. (ACMX) | 墨西哥地區3C資訊產品之支援 | - | - | 100.00 |  |
| AIL集團 | ASUS PORTUGAL, SOCIEDADE UNIPESSOAL LDA. (ACPT) | 葡萄牙地區3C資訊產品之支援 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUS HUNGARY SERVICES LIMITED LIABILITY COMPANY (ACHU) | 匈牙利地區3C資訊產品之支援 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUS SWITZERLAND GMBH (ACCH) | 瑞士地區3C資訊產品之支援 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUS NORDIC AB (ACN) | 北歐地區3C資訊產品之支援 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUS COMPUTER COLOMBIA S. A. S. (ACCO) | 哥倫比亞地區3C資訊產品之支援 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUS (THAILAND) CO., LTD. (ACTH) | 泰國地區3C資訊產品之支援 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUSTEK COMPUTERS (PTY) LIMITED (ACZA) | 非洲地區3C資訊產品之支援及維修 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUSTEK COMPUTER MALAYSIA SDN. BHD. (ACMY) | 馬來西亞地區3C資訊產品之支援及維修 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUS BILGISAYAR SISTEMLERI TICARET LIMITED SIRKETI (ACTR) | 土耳其地區3C資訊產品之支援及維修 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUS CHILE SPA (ACCL) | 智利地區3C資訊產品之支援 | 100.00 | 100.00 | 100.00 |  |
| AIL集團 | ASUS TEKNOLOJI SERVİSLERİ TİCARET LIMITED ŞIRKETİ (ASTR) | 土耳其地區3C資訊產品之維修 | - | 100.00 | 100.00 |  |
```
