```markdown
# 十五、不動產、廠房及設備－淨額

| 成 本 | 自有土地 | 建築物 | 機器設備 | 模具設備 | 運輸設備 | 辦公設備 | 其他設備 | 合 計 |
|-------|----------|--------|----------|----------|----------|----------|----------|-------|
| 111年1月1日餘額 | $2,809,918 | $19,546,951 | $25,863,863 | $1,392,282 | $34,802 | $2,069,654 | $4,765,970 | $56,483,440 |
| 增 加 | - | 102,183 | 1,284,275 | 53,422 | 4,089 | 96,377 | 1,404,811 | 2,945,157 |
| 減 少 | - | (149,594) | (607,939) | (56,391) | (4,526) | (41,712) | (125,744) | (985,906) |
| 重 分 類 | - | 151,362 | 712,143 | 12,030 | 2,272 | 5,415 | (889,060) | (5,838) |
| 淨兌換差額 | 3,301 | 531,612 | 829,666 | 19,839 | 1,545 | 79,935 | 171,872 | 1,637,770 |
| 111年9月30日餘額 | $2,813,219 | $20,182,514 | $28,082,008 | $1,421,182 | $38,182 | $2,209,669 | $5,327,949 | $60,074,623 |

| 累計折舊 | | | | | | | | |
|-------|----------|--------|----------|----------|----------|----------|----------|-------|
| 111年1月1日餘額 | $ - | $10,230,712 | $20,894,077 | $1,267,984 | $27,919 | $1,739,836 | $2,877,441 | $37,037,969 |
| 增 加 | - | 681,383 | 1,819,005 | 63,398 | 3,346 | 136,089 | 206,968 | 2,910,189 |
| 減 少 | - | (147,920) | (548,064) | (56,169) | (4,526) | (37,336) | (119,741) | (913,756) |
| 重 分 類 | - | - | 53 | - | 40 | (53) | (40) | - |
| 淨兌換差額 | - | 301,207 | 675,021 | 17,442 | 1,104 | 59,262 | 97,891 | 1,151,927 |
| 111年9月30日餘額 | $ - | $11,065,382 | $22,840,092 | $1,292,655 | $27,883 | $1,897,798 | $3,062,519 | $40,186,329 |

| 累計減損 | | | | | | | | |
|-------|----------|--------|----------|----------|----------|----------|----------|-------|
| 111年1月1日餘額 | $ - | $12,956 | $445,347 | $5,690 | $44 | $2,528 | $89,319 | $555,884 |
| 增 加 | - | 1,301 | - | - | - | - | 1,301 | - |
| 減 少 | - | (1,396) | (56,085) | (222) | - | (18) | (5,875) | (63,596) |
| 淨兌換差額 | - | 389 | 15,373 | 151 | 1 | 71 | 8,089 | 24,074 |
| 111年9月30日餘額 | $ - | $11,949 | $405,936 | $5,619 | $45 | $2,581 | $91,533 | $517,663 |

| 110年12月31日及 | | | | | | | | |
|-------|----------|--------|----------|----------|----------|----------|----------|-------|
| 111年1月1日淨額 | $2,809,918 | $9,303,283 | $4,524,439 | $118,608 | $6,839 | $327,290 | $1,799,210 | $18,889,587 |
| 111年9月30日淨額 | $2,813,219 | $9,105,183 | $4,835,980 | $122,908 | $10,254 | $309,290 | $2,173,797 | $19,370,631 |

| 成 本 | | | | | | | | |
|-------|----------|--------|----------|----------|----------|----------|----------|-------|
| 110年1月1日餘額 | $2,721,273 | $19,287,345 | $24,006,797 | $1,688,265 | $29,810 | $2,056,018 | $5,391,106 | $55,180,614 |
| 增 加 | 104 | 41,345 | 1,319,007 | 48,513 | 5,431 | 103,886 | 1,697,735 | 3,216,021 |
| 減 少 | - | (78,213) | (555,172) | (247,899) | (1,450) | (140,705) | (71,119) | (1,094,558) |
| 重 分 類 | - | 4,470 | 367,395 | 6,324 | - | 14,749 | (432,979) | (40,041) |
| 淨兌換差額 | (3,062) | (41,475) | (227,382) | (4,322) | (519) | (7,967) | (34,713) | (319,440) |
| 110年9月30日餘額 | $2,718,315 | $19,2
