```markdown
# 台灣積體電路製造股份有限公司及子公司
## 合併現金流量表
### 民國 111 年及 110 年 1 月 1 日至 9 月 30 日
#### （僅經核閱，未依一般公認審計準則查核）

|  | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|---|---|---|
| 營業活動之現金流量： | | |
| 稅前淨利 | $ 809,520,844 | $ 478,307,103 |
| 調整項目： | | |
| 收益費損項目 | | |
| 折舊費用 | 323,122,219 | 305,598,797 |
| 損銷費用 | 6,550,157 | 6,133,442 |
| 預期信用減損損失（迴轉利益）－債務工具投資 | 33,282 | (5,246) |
| 財務成本 | 8,415,015 | 3,240,557 |
| 採用權益法認列之關聯企業損益份額 | (6,061,304) | (3,952,156) |
| 利息收入 | (11,834,868) | (4,246,129) |
| 股份基礎給付酬勞成本 | 222,091 | 6,007 |
| 處分及報廢不動產、廠房及設備淨損 | 91,532 | 123,673 |
| 處分及報廢無形資產淨損 | - | 1,228 |
| 不動產、廠房及設備減損損失 | 790,740 | 274,388 |
| 處分透過其他綜合損益按公允價值衡量之債務工具投資淨損失（利益） | 346,125 | (183,349) |
| 外幣兌換淨損（益） | 12,532,183 | (11,104,453) |
| 股利收入 | (260,534) | (357,214) |
| 其他 | (292,572) | (338,686) |

## 與營業活動相關之資產／負債淨變動數
|  | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|---|---|---|
| 透過損益按公允價值衡量之金融工具 | (4,622,312) | 3,497,620 |
| 應收票據及帳款淨額 | (62,861,124) | (40,828,800) |
| 應收關係人款項 | (375,850) | (301,013) |
| 其他應收關係人款項 | (14,612) | (22,445) |
| 存貨 | (25,233,553) | (44,880,345) |
| 其他金融資產 | (4,371,124) | (4,503,858) |
| 其他流動資產 | (1,072,295) | (4,760,353) |
| 應付帳款 | 12,861,802 | 2,745,949 |
| 應付關係人款項 | 433,633 | 47,910 |
| 應付薪資及獎金 | 7,577,929 | 351,168 |
| 應付員工酬勞及董事酬勞 | 8,517,224 | (8,461,262) |

(接次頁)
```
