```markdown
# (十二) 應付公司債

|  | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|---|---|---|---|
| 應付公司債 | $ 40,650,000 | $ 45,500,000 | $ 47,550,000 |
| 國內無擔保不可轉換公司債 | | | |
| 減：一年或一營業週期內到期 | | | |
| 長期負債 | (3,800,000) | (4,850,000) | (6,900,000) |
| | $ 36,850,000 | $ 40,650,000 | $ 40,650,000 |

## 本集團國內無擔保不可轉換公司債發行條件說明如下：

| 名稱 | 發行日期 | 到期日 | 利率(%) | 發行金額 | 112年9月30日 | 111年12月31日 | 111年9月30日 | 備註 |
|---|---|---|---|---|---|---|---|---|
| 一○一年 | | | | | | | | |
| 第二次-丙 | 101.12.7 | 110.12.7~111.12.7 | 1.51 | $4,100,000 | $ | - | $ | $2,050,000 | 分期還本50% |
| 第三次-乙 | 102.1.22 | 111.1.22~112.1.22 | 1.50 | 2,200,000 | - | 1,100,000 | 1,100,000 | 分期還本50% |
| 一○二年 | | | | | | | | |
| 第一次-丙 | 102.7.8 | 111.7.8~112.7.8 | 1.52 | 2,800,000 | - | 1,400,000 | 1,400,000 | 分期還本50% |
| 第二次 | 103.01.17 | 114.1.17~115.1.17 | 2.03 | 10,000,000 | 10,000,000 | 10,000,000 | 10,000,000 | 分期還本50% |
| 一○三年 | | | | | | | | |
| 第一次-甲 | 103.7.4 | 112.7.4~113.7.4 | 1.81 | 1,400,000 | 700,000 | 1,400,000 | 1,400,000 | 分期還本50% |
| 第一次-乙 | 103.7.4 | 117.7.4~118.7.4 | 2.03 | 4,600,000 | 4,600,000 | 4,600,000 | 4,600,000 | 分期還本50% |
| 一○八年 | | | | | | | | |
| 第一次-甲 | 108.5.13 | 112.5.13~113.5.13 | 0.75 | 3,300,000 | 1,650,000 | 3,300,000 | 3,300,000 | 分期還本50% |
| 第一次-乙 | 108.5.13 | 114.5.13~115.5.13 | 0.83 | 3,000,000 | 3,000,000 | 3,000,000 | 3,000,000 | 分期還本50% |
| 第一次-丙 | 108.5.13 | 117.5.13~118.5.13 | 0.93 | 700,000 | 700,000 | 700,000 | 700,000 | 分期還本50% |
| 一○九年 | | | | | | | | |
| 第一次-甲 | 109.9.3 | 113.9.3~114.9.3 | 0.52 | 2,900,000 | 2,900,000 | 2,900,000 | 2,900,000 | 分期還本50% |
| 第一次-乙 | 109.9.3 | 115.9.3~116.9.3 | 0.60 | 5,200,000 | 5,200,000 | 5,200,000 | 5,200,000 | 分期還本50% |
| 第一次-丙 | 109.9.3 | 118.9.3~119.9.3 | 0.67 | 1,900,000 | 1,900,000 | 1,900,000 | 1,900,000 | 分期還本50% |
| 一一○年 | | | | | | | | |
| 第一次-甲 | 110.5.10 | 114.5.10~115.5.10 | 0.48 | 6,000,000 | 6,000,000 | 6,000,000 | 6,000,000 | 分期還本50% |
| 第一次-乙 | 110.5.10 | 116.5.10~117.5.10 | 0.56 | 4,000,000 | 4,000,000 | 4,000,000 | 4,000,000 | 分期還本50% |
| 減：一年或一營業週期內到期長期負債 | | | | | | | | |
| | (3,800,000) | (4,850,000) | (6,900,000) | | | | | |
| | $ 36,850,000 | $ 40,650,000 | $ 40,650,000 | | | | | |
```
