```markdown
|  | 112年7月1日至9月30日 | 111年7月1日至9月30日 |
|---|---|---|
| 處分不動產、廠房及設備損失 | ($1,783) | ($754) |
| 外幣兌換利益 | 226,276 | 1,071,702 |
| 透過損益按公允價值衡量之金融資產及負債利益 | 80,643 | 110,945 |
| 不動產、廠房及設備減損 | - | - |
| 迴轉利益 | - | - |
| 其他利益及損失 | ($87,787) | ($89,819) |
|  | $217,349 | $1,092,074 |

|  | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|---|---|---|
| 處分不動產、廠房及設備損失 | ($58,473) | ($75,333) |
| 外幣兌換利益 | 521,155 | 2,462,692 |
| 透過損益按公允價值衡量之金融資產及負債利益 | 208,168 | 232,171 |
| 不動產、廠房及設備減損 | 86,002 | - |
| 其他利益及損失 | ($273,530) | ($216,719) |
|  | $483,322 | $2,402,811 |
```
