```markdown
|  | 土地 | 房屋及建築 | 機器設備 | 試驗設備 | 其他 | 未完工程 | 合計 |
|---|---|---|---|---|---|---|---|
| 112年1月1日 | $ 16,093,942 | $ 55,651,841 | $ 61,671,200 | $ 22,998,550 | $ 23,840,987 | $ 9,853,136 | $ 190,109,656 |
| 成本 | | | | | | | |
| 累計折舊及減損 | (10,036) | (25,212,383) | (41,448,111) | (17,897,282) | (19,275,257) | - | (103,843,069) |
| | $ 16,083,906 | $ 30,439,458 | $ 20,223,089 | $ 5,101,268 | $ 4,565,730 | $ 9,853,136 | $ 86,266,587 |
| 112年 | | | | | | | |
| 期初餘額 | $ 16,083,906 | $ 30,439,458 | $ 20,223,089 | $ 5,101,268 | $ 4,565,730 | $ 9,853,136 | $ 86,266,587 |
| 增添 | 37,925 | 122,458 | 2,092,974 | 851,001 | 530,878 | 2,552,564 | 6,187,800 |
| 企業合併取得 | - | - | 253 | 432 | 4,484 | - | 5,169 |
| 合併個體減少影響數 | - | - | - | - | - | (547) | - |
| 處分 | (3,501) | (10,177) | (23,350) | (2,452) | (1,921) | - | (41,401) |
| 移轉/重分類 | - | 1,367,212 | 781,507 | 7,976 | 241,605 | (1,750,997) | 631,351 |
| 折舊費用 | - | (567,344) | (1,994,332) | (672,407) | (663,568) | - | (3,897,651) |
| 匯率影響數 | (25,383) | (18,829) | 43,814 | 3,406 | 5,631 | (23,641) | (15,002) |
| 期末餘額 | $ 16,092,947 | $ 31,332,778 | $ 21,123,955 | $ 5,273,272 | $ 4,682,292 | $ 10,631,062 | $ 89,136,306 |

|  | 土地 | 房屋及建築 | 機器設備 | 試驗設備 | 其他 | 未完工程 | 合計 |
|---|---|---|---|---|---|---|---|
| 112年3月31日 | $ 16,102,828 | $ 57,077,436 | $ 63,779,165 | $ 23,564,683 | $ 24,460,592 | $ 10,631,062 | $ 195,615,766 |
| 成本 | | | | | | | |
| 累計折舊及減損 | (9,881) | (25,744,658) | (42,655,210) | (18,291,411) | (19,778,300) | - | (106,479,460) |
| | $ 16,092,947 | $ 31,332,778 | $ 21,123,955 | $ 5,273,272 | $ 4,682,292 | $ 10,631,062 | $ 89,136,306 |
```
