```markdown
# (二) 透過損益按公允價值衡量之金融資產及負債

### 流動項目

#### 強制透過損益按公允價值衡量

| 金融資產 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
| --- | --- | --- | --- |
| 上市櫃公司股票 | $786,956 | $618,669 | $554,960 |
| 興櫃公司股票 | 195,138 | 71,748 | 71,748 |
| 衍生工具 | 164,480 | 605,847 | 342,974 |
| 混合工具-可轉換公司債 | 38,521 | 45,009 | 48,316 |
| **總計** | 1,185,095 | 1,341,273 | 1,017,998 |
| **評價調整** | 915,250 | 418,339 | 374,629 |
| **總計** | **$ 2,100,345** | **$ 1,759,612** | **$ 1,392,627** |

#### 非流動項目

#### 強制透過損益按公允價值衡量

| 金融資產 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
| --- | --- | --- | --- |
| 上市櫃公司股票 | $289,902 | $340,756 | $352,276 |
| 興櫃公司股票 | 68,280 | 222,000 | 259,668 |
| 非上市、上櫃、興櫃公司股票 | 1,348,285 | 1,521,372 | 1,314,366 |
| 混合工具-可轉換特別股 | 197,148 | 209,577 | 197,148 |
| 混合工具-可轉換公司債 | 913,449 | 913,449 | 913,517 |
| **總計** | 2,817,064 | 3,207,154 | 3,036,975 |
| **評價調整** | (487,689) | (435,527) | (371,080) |
| **總計** | **$ 2,329,375** | **$ 2,771,627** | **$ 2,665,895** |

### 負債項目

#### 持有供交易之金融負債

| 衍生工具 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
| --- | --- | --- | --- |
| **總計** | $468,486 | $74,232 | $544,395 |

1. 民國112年及111年7月1日至9月30日暨112年及111年1月1日至9月30日，本集團認列之透過損益按公允價值衡量之金融資產及負債利益(損失)分別為$41,861、($117,403)、($295,226)及($276,251)。
```
