```markdown
# (二) 未列入合併財務報告之子公司:無。

## 十四、採用權益法之投資

### 投資關聯企業

|  | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|---|---|---|---|
| 個別不重大之關聯企業 | $ 1,904,643 | $ 1,847,579 | $ 2,590,977 |

### 個別不重大之關聯企業彙總資訊

|  | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|---|---|---|
| 合併公司享有之份額 |
| 淨損 | ($ 1,581) | ($ 2,860) |
| 其他綜合利益 | 53,191 | 10,735 |
| 綜合利益總額 | $ 51,610 | $ 7,875 |

## 十五、不動產、廠房及設備－淨額

|  | 自有土地 | 建築物 | 機器設備 | 模具設備 | 運輸設備 | 辦公設備 | 其他設備 | 合計 |
|---|---|---|---|---|---|---|---|---|
| 成本 | $ 2,809,918 | $ 19,546,951 | $ 25,863,863 | $ 1,392,282 | $ 34,802 | $ 2,069,654 | $ 4,765,970 | $ 56,483,440 |
| 增加 | - | 17,046 | 152,918 | 9,110 | 234 | 39,089 | 772,547 | 990,944 |
| 減少 | - | (117,279) | (166,104) | (42,846) | (1,478) | (22,966) | (42,048) | (392,721) |
| 重分類 | - | 123,281 | 404,190 | 9,223 | 175 | 4,854 | (544,585) | (2,862) |
| 淨兌換差額 | 2,238 | 509,688 | 930,732 | 25,090 | 1,478 | 48,347 | 151,796 | 1,669,369 |
| 111年3月31日餘額 | $ 2,812,156 | $ 20,079,687 | $ 27,185,599 | $ 1,392,859 | $ 35,211 | $ 2,138,978 | $ 5,103,680 | $ 58,748,170 |
| 累計折舊 |  |  |  |  |  |  |  |  |
| 111年1月1日餘額 | $ - | $ 10,230,712 | $ 20,894,077 | $ 1,267,984 | $ 27,919 | $ 1,739,836 | $ 2,877,441 | $ 37,037,969 |
| 增加 | - | 222,426 | 600,051 | 21,218 | 874 | 43,999 | 63,417 | 951,985 |
| 減少 | - | (117,001) | (163,780) | (42,846) | (1,478) | (22,866) | (41,919) | (389,890) |
| 重分類 | - | - | 53 | - | - | (53) | - | - |
| 淨兌換差額 | - | 327,811 | 760,117 | 22,060 | 1,049 | 40,221 | 101,359 | 1,252,617 |
| 111年3月31日餘額 | $ - | $ 10,663,948 | $ 22,000,518 | $ 1,268,416 | $ 28,364 | $ 1,801,137 | $ 3,000,298 | $ 38,852,681 |
| 累計減損 |  |  |  |  |  |  |  |  |
| 111年1月1日餘額 | $ - | $ 12,956 | $ 445,347 | $ 5,690 | $ 44 | $ 2,528 | $ 89,319 | $ 555,884 |
| 減少 | - | - | (277) | - | - | (2) | - | (279) |
| 淨兌換差額 | - | 503 | 16,375 | 192 | 2 | 88 | 9,336 | 26,496 |
| 111年3月31日餘額 | $ - | $ 13,459 | $ 461,445 | $ 5,882 | $ 46 | $ 2,614 | $ 98,655 | $ 582,101 |
| 110年12月31日及111年1月1日淨額 | $ 2,809,918 | $ 9,303,283 | $ 4,524,439 | $ 118,608 | $ 6,839 | $ 327,290 | $ 1,799,210 | $ 18,889,587 |
| 111年3月31日淨額 | $ 2,812,156 | $ 9,402,280 | $ 4,633,636 | $ 118,561 | $ 6,801 | $ 355,227 | $ 2,004,727 | $ 19,313,388 |
| 成本 |  |  |  |  |  |  |  |  |
| 110年1月1日餘額 | $ 2,721,273 | $ 19,287,345 | $ 24,006,797 | $ 1,688,265 | $ 29,810 | $ 2,056,018 | $ 5,391,106 | $ 55,180,614 |
| 增加 | 40 | 4,708 | 119,535 | 2,260 | 208 | 25,897 | 685,846 | 838,494 |
| 減少 | - | (9,327) | (251,207) | (188,914) | (380) | (88,171) | (20,209) | (558,208) |
| 重分類 | 18,99
