```markdown
# 資產負債表

**公司名稱**：光寶科技股份有限公司

**報告日期**：民國 112 年 9 月 30 日

**單位**：新台幣仟元

| 代碼 | 資 產 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|-------|--------------|--------------|--------------|
| 1100 | 現金及約當現金（附註六） | $94,834,407 | $91,065,529 | $70,506,662 |
| 1110 | 透過損益按公允價值衡量之金融資產（附註七） | 4,268,302 | 2,799,938 | 16,131,758 |
| 1136 | 按攤銷後成本衡量之金融資產（附註九及三三） | 21,625 | - | 3,042 |
| 1140 | 合約資產（附註二五） | 241,551 | - | 484,791 |
| 1150 | 應收票據－淨額（附註十一） | 528,519 | - | 609,573 |
| 1170 | 應收帳款－淨額（附註十一） | 36,663,038 | 38,127,682 | 44,518,919 |
| 1180 | 應收帳款－關係人（附註三二） | - | - | - |
| 1200 | 其他應收款（附註十一） | 1,215,350 | 1,562,769 | 923,318 |
| 1210 | 其他應收款－關係人（附註三二） | - | - | - |
| 130X | 存貨－淨額（附註十二） | 26,014,861 | 27,747,465 | 31,448,701 |
| 1460 | 待出售處分群組（附註十三） | 852,536 | - | - |
| 1470 | 其他流動資產（附註二十） | 2,470,755 | 2,537,757 | 2,966,646 |
| 11XX | 流動資產總計 | 167,110,944 | 164,953,214 | 167,656,008 |

| 代碼 | 資 產 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|-------|--------------|--------------|--------------|
| 1510 | 透過損益按公允價值衡量之金融資產（附註七） | 1,094,762 | 1,462,668 | 1,607,817 |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產（附註八） | 2,071,143 | 1,985,324 | 1,970,070 |
| 1535 | 按攤銷後成本衡量之金融資產（附註九及三三） | 515,483 | - | 465,790 |
| 1550 | 採用權益法之投資（附註十五） | 1,792,300 | 1,888,176 | 1,898,178 |
| 1600 | 不動產、廠房及設備－淨額（附註十六及三二） | 18,610,194 | 19,078,678 | 19,370,631 |
| 1755 | 使用權資產－淨額（附註十七） | 1,771,622 | 1,648,994 | 1,766,602 |
| 1760 | 投資性不動產－淨額（附註十八） | 1,213,243 | 1,236,643 | 1,261,787 |
| 1780 | 無形資產－淨額（附註十九） | 3,672,334 | 3,692,521 | 3,687,631 |
| 1840 | 遞延所得稅資產 | 2,116,537 | 2,804,527 | 2,911,002 |
| 1920 | 存出保證金 | 265,372 | - | 350,419 |
| 1975 | 淨確定福利資產（附註二三） | 113,789 | - | 107,332 |
| 1995 | 其他非流動資產（附註二十） | 110,514 | - | 107,451 |
| 15XX | 非流動資產總計 | 33,346,993 | 34,828,523 | 35,241,099 |

| 代碼 | 資 產 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|-------|--------------|--------------|--------------|
| 1XXX | 資 產 總 計 | $200,457,937 | $199,781,737 | $202,897,107 |

| 代碼 | 負 債 及 權 益 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|----------------|--------------|--------------|--------------|
| 2100 | 短期借款（附註二一） | $31,998,940 | $32,628,984 | $33,900,130 |
| 2120 | 透過損益按公允價值衡量之金融負債（附註七） | 14,704 | - | 253,441 |
| 2130 | 合約負債（附註二五） | 90,182 | - | 79,782 |
| 2150 | 應付票據 | 26 | - | 59 |
| 2170 | 應付帳款－關係人（附註三二） | 43,214,556 | 44,883,340 | 48,095,811 |
| 2180 | 應付帳款－關係人（附註三二） | 112 | - | 15,842 |
| 2219 | 其他應付款 | 21,194,927 | 22,630,490 | 21,410,620 |
| 2220 | 其他應付款－關係人（附註三二） | 83 | - | 19,378 |
| 2230 | 本期所得稅負債 | 6,591,918 | 3 | 5,609,887 |
| 2250 | 負債準備（附註二二） | 1,048,544 | 1 | 1,125,550 |
| 2260 | 與待出售
